,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,31.59200,滚动弹幕,25,0xffffff,0,294b4b2b,984725638413934592,点个赞（大拇指
2,135.49200,底端弹幕,25,0xfef102,0,50c13ff3,978921202374205440,天空是蔚蓝色，窗外有千纸鹤
3,164.13900,滚动弹幕,25,0xffffff,0,c2bd9bfc,974723976750981120,靠，刚加入收藏就被识破了
4,83.55300,滚动弹幕,25,0xffffff,0,6c78803d,974621765668536320,真的是来B站学习的
5,145.21800,顶端弹幕,25,0xffd302,0,f5cc12e1,972689919426543616,你知道我们都在等什么
6,126.87900,顶端弹幕,25,0xfef102,0,f49848ab,972534624485187584,草 莓 导 航doge
7,5.78000,顶端弹幕,25,0xfe0302,0,99e15196,960935392824680448,曾经地球上最大的海盗湾！！！
8,275.15900,滚动弹幕,25,0xffff00,0,c0edcf04,59371107386020352,你们在期待什么？
9,267.75700,底端弹幕,25,0xfe0302,0,b49c1458,57921047909395456,你们为什么都在发呱啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈
10,119.46500,底端弹幕,25,0xfe0302,0,8e2beb85,57064041181980160,标注是否免费就很实用
11,145.72200,滚动弹幕,25,0xfef102,0,9cdb980b,55662708330715136,幻想逐渐破灭
12,129.94200,滚动弹幕,25,0xfef102,0,9cdb980b,55662696867752448,我到底在期待些什么？
13,299.55900,滚动弹幕,25,0xffffff,0,2db9387f,55606393026728448,干货满满，超赞！这次一定！
14,64.58700,底端弹幕,25,0xffff00,0,3e64f475,54512733861243392,进我的收藏夹吃灰吧（狗头）
15,245.91800,顶端弹幕,25,0xfef102,0,31425c84,54433925121038336,这个厉害！
16,265.85200,顶端弹幕,25,0xffffff,0,c7f9e6cf,54388671317087232,还在坚持的我，还在等
17,21.20300,滚动弹幕,25,0xffffff,0,76b2b61e,53967128845552128,开头就是满满的凡尔赛味儿
18,152.14200,滚动弹幕,25,0xfe0302,0,ee22a12e,53902007470277120,后面的扣个“呱”暖暖场吧
19,159.04500,滚动弹幕,25,0xffffff,0,331ae4c1,53884966756651008,这么懂我？（一键收藏
20,90.43000,滚动弹幕,25,0xfef102,0,4b15912e,53788884379698176,你在期待什么？
21,259.49900,滚动弹幕,25,0xffffff,0,1b2f1740,45262799477145603,感谢up分享，对于有相关需求的人来说，节省了时间也提高了工作效率
22,7.30700,滚动弹幕,25,0xffffff,0,ff4b7f45,1020920609875671040,《360》
23,4.45900,滚动弹幕,25,0xffffff,0,cffc0b2a,1017192719442881024,skrbt
24,1.50600,滚动弹幕,25,0xffffff,0,d91f0e7,1016801722666029568,kw330午夜递纸
25,1.46000,滚动弹幕,25,0xfef102,0,b3e74b2b,1016589148837913600,  每天更新。Gt320 必看
26,0.17100,滚动弹幕,25,0xd32d26,0,4447ae3f,1012214571664251392,呱
27,148.26900,滚动弹幕,25,0xffffff,0,d882ef84,971231201095868416,可以在收藏夹吃灰了
28,299.34400,顶端弹幕,25,0xffff00,0,7ee5b3fe,58653064222110720,上次一定
29,266.47000,滚动弹幕,25,0xffff00,0,e7d85f63,57567399244996608,看了半天，都不适合我呀
30,250.87700,滚动弹幕,25,0xfef102,0,8e5c0f57,57436575447006720,请让我乘兴而归
31,170.19600,滚动弹幕,25,0xffffff,0,54ff83cf,57065111681266176,对方归还借款
32,232.09400,顶端弹幕,25,0xe70012,0,d629319d,57029486457450496,这个东西好啊!
33,135.38400,滚动弹幕,25,0xffffff,0,a7e4d3ac,56918241745891328,全部都是宝藏，谢谢框框
34,119.75400,顶端弹幕,25,0xffffff,0,17ed0992,56428829503254016,白嫖党狂喜！投币了
35,94.61100,滚动弹幕,25,0xffffff,0,5b7ad4b2,55983588600596480,在家上大学系列
36,288.60200,滚动弹幕,25,0xfef102,0,9cdb980b,55662818679811584,各类图片资源
37,176.59100,底端弹幕,25,0xe70012,0,f7bc96a0,55409698145429504,呱
38,8.97900,滚动弹幕,25,0xffffff,0,e35292d4,54311580311751680,吾有一友，代其观之
39,93.28400,顶端弹幕,25,0xffff00,0,7d1c94c2,53922826550380032,我要的是这个？我的资源呢？
40,192.56300,滚动弹幕,25,0xffffff,0,f87bdb90,1025447355677197312,去2345不好吗(doge)
41,7.35100,滚动弹幕,25,0xffffff,0,f2c9d090,1013616407063555072,pixiv
42,0.05400,滚动弹幕,25,0xd32d26,0,4447ae3f,1012212881585942528,报道
43,123.43900,滚动弹幕,25,0xa0ea,0,9cc4b12c,1010073939721929728,收藏了我会忘了看
44,12.83900,滚动弹幕,25,0xffffff,0,fbb495ea,1001918451767411712,点进来发现已经收藏过了
45,7.03700,滚动弹幕,25,0xffffff,0,afe6951b,999301240624263680,Google
46,119.09600,滚动弹幕,25,0xffffff,0,51e854b2,999143600946179584,一点开，我居然收藏过了，我忏悔啊
47,32.07900,滚动弹幕,25,0xffffff,0,6060cee2,972597794855493632,好家伙，我发现我收藏了但是没看
48,187.03700,滚动弹幕,25,0xffffff,0,34962933,967433228641763328,看不懂，但大受震撼
49,278.97000,滚动弹幕,25,0xffffff,0,ddbed07b,963170324874592256,看困了，收藏走人
50,59.56600,滚动弹幕,25,0xffd302,0,bfcce351,59108070686161408,无中生友
51,240.10100,滚动弹幕,25,0xffff00,0,e7d85f63,57567354899028480,你应该去迎合大众呀
52,261.33300,滚动弹幕,25,0xffffff,0,24cc0dc2,57301171305237504,很好，很多用的到的地方，666
53,251.51400,滚动弹幕,25,0xffffff,0,70d749e5,56017336532548608,JDL：江科大LK：SDj
54,229.39600,滚动弹幕,25,0xffffff,0,53e0bf82,55974057523869696,滴 取消收藏
55,282.24700,滚动弹幕,25,0xffffff,0,acc70d5,55969006851473408,非战斗人员请撤离
56,298.13200,顶端弹幕,25,0xe2027f,0,ca1996ea,55869207545984000,啊这…一定
57,151.84700,滚动弹幕,25,0xffffff,0,e9f15b5f,55564336898993664,收藏了半年多，翻到才看
58,236.00700,滚动弹幕,25,0xffffff,0,a122debb,54208958857132032,非常全面实用
59,278.33200,顶端弹幕,25,0xe70012,0,c162528f,45262663759429639,这个可以
60,190.16700,滚动弹幕,25,0xffffff,0,b808ccdd,1008857784827077120,呱
61,193.54300,滚动弹幕,25,0xffffff,0,a093b324,1007718280082952192,呱
62,203.07900,滚动弹幕,25,0xffffff,0,1d71ba3e,1003030074372645376,呱
63,196.59000,滚动弹幕,25,0xffffff,0,8745e23d,981333972143341568,呱
