,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,352.00400,滚动弹幕,25,0xffffff,0,2353cd89,1020363419649555968,开了飞行模式的手机
2,448.42600,滚动弹幕,25,0xffffff,0,2c9e1796,1020312269852475904,摄影师安全着陆
3,330.93100,顶端弹幕,25,0xffff,0,a9432c33,1009906804399870464,受害者视角
4,273.23300,顶端弹幕,25,0xfef102,0,af8b9150,1002961499406519808,航模区最大的赌场
5,368.35800,顶端弹幕,25,0xffffff,0,9830e7af,1001470452578867712,[   +   ]
6,333.88700,滚动弹幕,25,0xffffff,0,2a32f6de,995802842222592000,各位尊敬的旅客，我们的飞机正遭遇气流，请大家系好安全带，不要在客舱中走动，谢谢。
7,429.20500,滚动弹幕,25,0xffffff,0,fdb50636,995669130410975232,《硬着陆》
8,334.65800,滚动弹幕,25,0xffffff,0,fdb50636,995667940116226048,《飞行模式》
9,298.75300,滚动弹幕,25,0xffffff,0,fdb50636,995667380582072320,硬核转向
10,410.44800,滚动弹幕,25,0xffffff,0,aeed499b,970344244185513984,按【E】可将乘客投放出舱外
11,404.91200,滚动弹幕,25,0xffffff,0,129592ec,964561873764220928,乘客和飞行员：我当时害怕极了！
12,226.52600,滚动弹幕,25,0xffffff,0,1096ad53,962457742405738496,认识，物理老考物态变化
13,378.60200,滚动弹幕,25,0xffffff,0,c166ffc7,955296883802447872,再次深感高手在人间的真理
14,307.16400,顶端弹幕,25,0xe70012,0,e6f2f280,58514818091736064,v1 抬轮
15,299.81600,滚动弹幕,25,0xe2027f,0,c0ce9e8d,58248349846754304,塔台塔台！我已进入跑道，请求起飞！
16,428.91800,顶端弹幕,25,0x19899,0,80280075,58196736420375040,瑞   安   航   空
17,401.28900,滚动弹幕,25,0xffffff,0,76033e5b,57436787978274816,一架客机，飞特技也是天才
18,19.02000,顶端弹幕,25,0xfef102,0,ab780af2,57434872483089408,手机：不当人
19,434.91700,滚动弹幕,25,0xfe0302,0,146d1bb3,57434690935661568,飞出图两两的感jio
20,431.60200,滚动弹幕,25,0xffffff,0,45415c48,56899269395403776,乘客脑浆子都摇匀了，最后颠了一下全员昏迷
21,418.49600,滚动弹幕,25,0xffffff,0,bee3b187,56473902457031168,达成成就：连续两次降落失败复飞
22,185.15300,底端弹幕,25,0xfe0302,0,5d89494b,56286879878371328,国航C919，跑道36R，风向西北，风速200，可以起飞
23,185.15300,底端弹幕,25,0xfe0302,0,5d89494b,56286844050693632,已滑行至跑道36R，请求起飞，国航C919
24,448.41900,顶端弹幕,25,0xffff00,0,ea5b1c9e,56275576663127552,乌 鸦 坐 飞 机！
