,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,128.99800,顶端弹幕,25,0xffff00,0,8efe6e19,985402886456123392,第 一 人 称 射 击 游 戏
2,382.29700,滚动弹幕,25,0xffffff,0,8a8ae591,56756360162034176,从开始到放弃
3,210.08400,滚动弹幕,25,0xffffff,0,9b2dcc60,55220867326174720,直接全屏开始菜单就行了，这个还要多一个软件更乱
4,2.66400,顶端弹幕,25,0xe70012,0,aac81436,53218571673843712,终于有个明白人了
5,136.65600,滚动弹幕,25,0xffff00,0,5b6c8e72,52310359391862789,非常好用的18+软件（doge）
6,386.25000,滚动弹幕,25,0xffffff,0,6d998100,51137415957446661,最后一键默认
7,90.93000,滚动弹幕,25,0xffffff,0,eaf2fc39,50859862782902275,y7000笔记本用过一次还原，结果大半天才还原好
8,165.24400,滚动弹幕,25,0xffff00,0,a167168e,50596595447103493,《你要小心》
9,373.04500,滚动弹幕,25,0xfe0302,0,7d1c94c2,50316716157698055,电脑容易返厂
10,384.78000,滚动弹幕,25,0xffffff,0,e72b0ca5,50209534186094599,不需要配置很高的电脑，一般就行，用了10年拉
11,6.92000,滚动弹幕,25,0xffffff,0,e72b0ca5,50209322442424325,开局第一句太棒了
12,267.32700,滚动弹幕,25,0xffffff,0,963c7e00,49473816239800323,出意外了系统重装特来还愿
13,209.42600,滚动弹幕,25,0xffffff,0,f7a31bd1,48980689433919491,我一般不在桌面放东西，软件在开始菜单里启动，文件放D盘
14,143.20500,底端弹幕,25,0xffff00,0,b458eb17,48753968521150471,steam++工具箱解决社区打不开问题
15,241.26900,顶端弹幕,25,0xffffff,0,99c3efd3,48482871403347971,但有一些专业的软件，想找的时候不好找
16,333.99100,滚动弹幕,25,0xffffff,0,26586a37,48033694280056837,已从致美化出来了
17,157.83400,滚动弹幕,25,0xffffff,0,98e6a6cd,48016244289306631,所以这里安装完毕后还是steam版
18,30.69300,滚动弹幕,25,0xffffff,0,698f738,46849101043597319,我就想知道下面任务栏怎么设计的
19,162.21500,滚动弹幕,25,0xffffff,0,53069f1d,45403884343001091,《你要小心》
20,116.16100,顶端弹幕,25,0xe70012,0,e78a7fd3,45291777698562055,18+视频播放器不就得了
21,256.23300,顶端弹幕,25,0xe70012,0,cfbda9fb,45218017513570307,解决方法是win+r运行窗口然后打开程序管理卸载这个软件就好了
22,256.23300,顶端弹幕,25,0xe70012,0,cfbda9fb,45217997539770375,否则会闪屏！
23,255.80700,顶端弹幕,25,0xe70012,0,cfbda9fb,45217991552401411,注意 使用这个插件我记得必须要win版本1903及以上！
24,31.50800,滚动弹幕,25,0xffffff,0,ffb4108f,45203408778952707,折腾美化后已经默认了。
25,279.23800,滚动弹幕,25,0xffffff,0,fb3627a7,44976929726005251,点了任务栏居中没反映应
26,391.15300,滚动弹幕,25,0xfef102,0,91a05455,44974252313018373,我对简单的定义是只用Windows自带设置
27,18.14300,滚动弹幕,25,0xffffff,0,2793963e,44859716953702403,太真实了。。尽头是默认
28,117.40100,滚动弹幕,25,0xffffff,0,a2f9ccae,44846862567473155,首 当 其 冲
29,376.59500,滚动弹幕,25,0xffffff,0,8a0c8193,44839096704565255,简  单  几  步
30,64.48100,滚动弹幕,25,0xffffff,0,a3d229,44810852272963589,美化过好几次后又换回了默认。。
31,189.46200,滚动弹幕,25,0xffffff,0,4f9bee54,44668051613286403,wallpaper众所周知是射击游戏
32,344.38900,滚动弹幕,25,0xffffff,0,4ab1e937,44632436733640707,每天一个开机俩小时的小技巧
33,198.07300,滚动弹幕,25,0xffffff,0,93390855,44614990475821059,然而免费是最可怕的
34,209.08500,滚动弹幕,25,0xffffff,0,ed276208,44417089168998407,软件我全部拖到开始菜单格子里了
35,10.09200,滚动弹幕,25,0xffffff,0,500e5393,44409208574574595,预言:绝对有某19块壁纸软件
36,18.55900,滚动弹幕,25,0xffffff,0,f41c064,44401352854994949,以前就喜欢折腾雨滴，玩了一段时间后又回归自然了
37,149.82300,顶端弹幕,25,0xe70012,0,e45b28a6,44387909075206149,微干木
38,205.56400,顶端弹幕,25,0xfef102,0,ae89418a,44357408371245059,我不对劲
39,205.10000,顶端弹幕,25,0xfef102,0,f4239390,44324977248829443,自己整理，和开始菜单，不香吗
40,169.41600,滚动弹幕,25,0xffffff,0,786c6952,44322998864314375,众所周知，这是款射击游戏模拟器（狗头保命）
41,131.79200,顶端弹幕,25,0xffff00,0,7e5b80b,44268381332307975,别买，对身体不好
42,131.20300,顶端弹幕,25,0xff0000,0,f1d30c5,44262909287596035,歪泡波安吉
43,131.20300,顶端弹幕,25,0xff0000,0,f1d30c5,44262898241372167,歪泡波安吉
44,28.65000,滚动弹幕,25,0xffffff,0,57ed915b,44247044208984067,桌面只有回收站
45,201.81000,滚动弹幕,25,0xffffff,0,c8e2f0d8,44229233319870471,我感受到了召唤
46,6.54000,滚动弹幕,25,0xffffff,0,16804660,44224363191336967,最简：应用按钮全部添加到起始页，桌面只留下壁纸
47,148.45800,滚动弹幕,25,0xffffff,0,d8da0056,44219256047927303,你甚至可以下壁纸
48,0.16300,滚动弹幕,25,0xffffff,0,99a817c3,44218909098770439,一直开着软件，桌面壁纸都快忘了啥样了
49,37.83000,滚动弹幕,25,0xe70012,0,6e5a3903,44217143186161669,相信我，过不了几天你就会换回默认的
50,1.32000,滚动弹幕,25,0xffffff,0,89c91e7e,44215951619522563,居然领悟了美化的真谛
51,163.32700,顶端弹幕,25,0xfef102,0,f5d7dec2,44213743140208645,你要小心
52,150.76100,顶端弹幕,25,0xfef102,0,c2835ae2,44211510056058885,灵魂
53,245.56600,顶端弹幕,25,0xfef102,0,4f8b2aa1,44210726874120197,我每换一个电脑就花35买个这个……
54,137.91900,滚动弹幕,25,0xffffff,0,de974e07,44209751821647877,电脑带不动[doge
55,40.72800,滚动弹幕,25,0xffffff,0,eee909f4,44209355455201285,哈哈，就是不是还得缓缓壁纸
56,201.76900,滚动弹幕,25,0xffffff,0,e4c3c492,44208938291822595,我把桌面图标全部放在开始菜单里了
57,140.97600,顶端弹幕,25,0xe70012,0,5ba6274,44191616143982599,这个软件的精髓在创意工坊 不在软件本身
58,30.09900,滚动弹幕,25,0xffffff,0,e1c1d564,44189565625827335,几年都看不见完整的桌面一眼，要着有用？
59,49.66100,滚动弹幕,25,0xffffff,0,e3301ef1,44186528012304387,相信我，最终都会默认回去的
60,312.63800,滚动弹幕,25,0xe70012,0,b47902b0,44182936440274949,此时突然一个弹窗：时间不够长？男人都用它！
61,267.62000,顶端弹幕,25,0xe70012,0,25a7b13,44180865001979909,？？？饿了么图标
62,158.14000,滚动弹幕,25,0xffffff,0,522771a4,44179808530726983,有时候并不是为了壁纸打开这个软件的
63,196.32100,顶端弹幕,25,0xffffff,0,33c645b8,44174815288885255,但是仍然会遍历并上传你的所有文件
64,20.34400,滚动弹幕,25,0xffffff,0,370ceb46,44174251331158019,重装系统一键简化
65,130.02500,滚动弹幕,25,0xffffff,0,a399a4,44166200971231239,这个原来是壁纸软件啊
66,159.27300,滚动弹幕,25,0xffffff,0,32f109a,44165455700557829,Wegame缺少了核心元素
67,0.63400,滚动弹幕,25,0xffffff,0,506f01bf,44162694153502725,懂了，这就还原出厂设置。（狗头）
68,142.60900,滚动弹幕,25,0xffffff,0,70e00c96,44158512109453315,最核心的内容wegame没有啊
69,110.16000,滚动弹幕,25,0xffffff,0,5db06546,44138281002074115,疯狂暗示三连，给了
70,47.02500,滚动弹幕,25,0xffffff,0,220891bd,44137342717919235,歌词配这背景，爱了！
71,1.11700,滚动弹幕,25,0xffffff,0,220891bd,44137315990765573,美化的尽头是默认，那我.....
72,310.08700,滚动弹幕,25,0xffffff,0,e88f78c6,982473493820416000,雨滴系统崩溃，劝退
73,111.14500,滚动弹幕,25,0xffffff,0,7586d9b8,57827893279259136,疯狂暗示
74,385.32100,滚动弹幕,25,0xffffff,0,7a86cdf2,52983696751535616,咸鱼觉得好麻烦啊
75,345.06500,滚动弹幕,25,0xffffff,0,8da2713,52706093955022853,前面的2400是频率
76,170.60000,滚动弹幕,25,0xffffff,0,41966100,52583951594684423,爱的魔力转圈圈
77,335.92100,顶端弹幕,25,0xffffff,0,42abc78e,49229005795622917,Minecraft瞩目
78,382.28700,滚动弹幕,25,0xffffff,0,8fb1cfbc,48936446203527173,我在折腾过很多很多次以后，不管是arch，还是windows都用回了默认
79,328.47200,滚动弹幕,25,0xffffff,0,6b5b8575,48732383505022983,下载了这些软件成龙大哥会不会跳出来砍我
80,242.44400,滚动弹幕,25,0xffffff,0,f17706a8,48616364541214725,utools比开始菜单好用
81,121.76900,滚动弹幕,25,0xffffff,0,fa70a79e,48249787989360643,系统崩溃怎么点还原
82,210.33700,滚动弹幕,25,0xffffff,0,da83ffb,47893297374953477,腾讯桌面确实良心
83,39.75700,滚动弹幕,25,0xffffff,0,beaaff81,47843172609425413,美化尽头是默认
84,91.60700,滚动弹幕,25,0xffffff,0,6a8d58c3,47425683692978183,我没备份，但我的电脑还能用
85,134.28800,滚动弹幕,25,0xffffff,0,d6386c86,47030686026563591,开个虚拟机随便折腾嘛
86,150.24100,底端弹幕,25,0xfef102,0,2f751ba,46560645006491653,创意工坊
87,28.19900,滚动弹幕,25,0xffffff,0,e56105d5,46304055773888517,平平淡淡才是真
88,200.72800,滚动弹幕,25,0xffffff,0,15505b4d,46264578778071047,但是腾讯这个老出bug
89,259.71100,滚动弹幕,25,0xffffff,0,4d02c467,45584290769534981,这个用段时间要激活码的
90,359.55000,滚动弹幕,25,0xffffff,0,93a9527,45432403023364099,不讲武德
91,397.32600,滚动弹幕,25,0xffffff,0,cd703f2,45394243013312515,默认舒服
92,391.24300,滚动弹幕,25,0xffffff,0,2e2b4b22,45308609240760325,学会这五步
93,194.57900,滚动弹幕,25,0xffffff,0,e9c7dda4,45267265035698183,腾讯桌面还是有良心的
94,78.17900,滚动弹幕,25,0xffffff,0,c62466b6,45076056507416581,啊这，还会折腾坏吗？……
95,274.05200,滚动弹幕,25,0xffffff,0,7d867c50,45022218141302787,我也出意外了。。
96,9.96300,滚动弹幕,25,0xffffff,0,f9aebeda,44940116380614663,Bgm把我送走了
97,147.21100,滚动弹幕,25,0xffffff,0,85961185,44903604816969735,wegame上没有灵魂/dog
98,375.45100,滚动弹幕,25,0xffffff,0,ae82e49c,44885006085521411,cpu爆表
99,117.17000,滚动弹幕,25,0xffffff,0,aa9cdd70,44879315597787139,病句！！首当其冲用在这里是错的！
100,159.81100,滚动弹幕,25,0xffffff,0,2a87dccc,44876957678043143,慎用动态壁纸，严重占用CPU
101,163.03200,滚动弹幕,25,0xffffff,0,53c6210a,44853622611640389,缺少了该有的功能
102,141.99000,滚动弹幕,25,0xffffff,0,29edca56,44850327456841735,外婆婆案件
103,28.83500,滚动弹幕,25,0xffffff,0,c2ccb0,44846231348314115,美化的尽头是默认
104,196.54000,滚动弹幕,25,0xffffff,0,fdec8628,44844605068279815,wallpaper e可以隐藏啊
105,32.95400,滚动弹幕,25,0xffffff,0,884d94e5,44720387110469637,我就是默认+隐藏图标
106,237.45800,滚动弹幕,25,0xffffff,0,3734747d,44683724489490437,应用启动器utools，你值得拥有
107,46.09400,滚动弹幕,25,0xffffff,0,bb4537c7,44674868008976389,系统啥也没有，回收站也被我隐藏了
108,213.38800,滚动弹幕,25,0xffffff,0,50d3cae1,44667690140827653,明里铀？
109,9.34000,滚动弹幕,25,0xffffff,0,a7c1cc76,44618041061277703,哈哈哈神似愿你刷机半生归来依旧是MIUI
110,155.03200,滚动弹幕,25,0xffffff,0,71ed4927,44542674867322883,wegame是未成年版的...
111,373.29600,滚动弹幕,25,0xffffff,0,bc5304cf,44530720617005059,飞火？搞笑？
