,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,160.64400,顶端弹幕,25,0xe70012,0,2b52100,59560035541116416,一拉就撑开了
2,125.65800,顶端弹幕,25,0xe70012,0,2b52100,59560009572727296,放入右手动脉
3,4.91100,顶端弹幕,25,0xe70012,0,2b52100,59559927077277696,我在用！活命工具啊
4,10.10000,滚动弹幕,25,0xffffff,0,5dae3f36,59296748583010304,支架进医保了，可喜可贺
5,207.41200,滚动弹幕,25,0xffffff,0,bbd1fe5b,58934276402064896,已经开始疼了，体验很强
6,7.30500,滚动弹幕,25,0xffff00,0,7b2c5851,58732746141579776,拆完赶紧给我装上
7,248.40200,滚动弹幕,25,0xffffff,0,e979eba8,55761092454635520,打气搋子呢
8,103.98300,滚动弹幕,25,0xffffff,0,124fd7d5,55153967775258112,谁特么的会买个心脏支架回来，然后吃干燥剂。。。
9,129.81900,滚动弹幕,25,0xffffff,0,d96f4930,54996074428548096,顺着股动脉往心脏送
10,72.28100,顶端弹幕,25,0xfef102,0,d285a367,54703917010941952,灭菌是有有效期的
11,87.39900,滚动弹幕,25,0xffffff,0,f4e70c52,54383475728586240,生平第一次看到这个
12,68.95500,滚动弹幕,25,0xffffff,0,6fe8221f,54306163169174528,bgm：g大调弦乐小夜曲
13,100.30800,滚动弹幕,25,0xffffff,0,a6f1a0fb,54039599449311744,还缺个压力泵
14,330.91900,滚动弹幕,25,0xffffff,0,359e4f91,54038411370053632,把这玩意儿泡热水里会涨开啊！
15,273.93900,滚动弹幕,25,0xffffff,0,2559120b,53950798025554432,血压上去了，需要装支架
16,322.82500,顶端弹幕,25,0xffff00,0,12cc04d2,53259581527650304,不通是血栓（doge）
17,310.85900,滚动弹幕,25,0xffffff,0,a000efc3,49925467716714499,过期的医疗用品不能用的，而且医保谈下来的价格是一个几百，现在不贵了
18,224.55100,顶端弹幕,25,0xe70012,0,f69037fb,49401880393023493,硬核
19,147.29400,滚动弹幕,25,0xffffff,0,b73bc20c,49094041517162503,血管堵塞的 用他往里送弹簧圈
20,131.19800,滚动弹幕,25,0xffffff,0,9b499422,45407524508139527,往里放的导管啊伙计
21,52.39800,滚动弹幕,25,0xffffff,0,8c03749e,45400925050765319,抗凝 滤血栓
22,37.67900,顶端弹幕,25,0xe70012,0,26577005,45353949215064067,Atmosphere，大气压
23,160.71900,顶端弹幕,25,0xfef102,0,4a7338cf,45335975771504647,这个非常的支架啊
24,152.83400,滚动弹幕,25,0xffffff,0,432d6cab,45316811820367877,气相色谱柱
25,75.59500,顶端弹幕,25,0xfef102,0,5da28d36,45255658140860419,红米心脏支架，年轻人的第一个支架
26,137.67400,滚动弹幕,25,0xffffff,0,92dc01a8,45175639790059527,形容词大师
27,18.15900,滚动弹幕,25,0xe70012,0,98b98cdc,45163458831319045,七八千国家压价了
28,59.88100,滚动弹幕,25,0xffffff,0,4ccf289d,45092096523108355,没事，下次用酒知道咋用了（狗头）
29,32.68500,滚动弹幕,25,0xe70012,0,aa2f68ea,45083857459871751,工作压爆破压
30,166.86800,滚动弹幕,25,0xffffff,0,8def90b5,45081891249848327,股动脉、桡动脉进去都可
31,275.83700,滚动弹幕,25,0xfef102,0,139e6b6f,45077592894078981,配着这个BGM食用还真是。。。
32,13.77800,滚动弹幕,25,0xfef102,0,139e6b6f,45077438935334915,另  类  开  箱
33,73.73800,顶端弹幕,25,0xe70012,0,d59f97d1,45064640393117699,《Read me.md》
34,221.33700,滚动弹幕,25,0xffffff,0,7fefa6ed,44956168968208389,一切都来自于最初那个把一根针从手臂打到心脏的狠人
35,242.40600,滚动弹幕,25,0xffffff,0,4e12748f,44945768806612999,这玩意儿是往里面打造影剂充压的，不是打气空气，不然在血管里打爆球囊就凉凉
36,113.41900,滚动弹幕,25,0xffffff,0,4e12748f,44945597602463749,撕包装的手法错了，里面本来无菌的都被摸完了
37,71.04100,滚动弹幕,25,0xffffff,0,9dcd236c,44943881997385735,正常，这也是个释药系统
38,170.99300,滚动弹幕,25,0xffffff,0,66fe93ed,44901025572192263,血管进，连通部位
39,227.43700,滚动弹幕,25,0xffffff,0,4de8cadc,44889034985570307,病人：快把我呼吸机拔了！
40,138.25300,滚动弹幕,25,0xffffff,0,4de8cadc,44888977019240455,他形容词一直这么狂野吗
41,258.37900,滚动弹幕,25,0xffffff,0,3b6f2290,44863838513790981,《理论上》
42,7.31400,滚动弹幕,25,0xffffff,0,1ed433dc,44860579213475843,乍一看还以为是螃蟹
43,160.40900,滚动弹幕,25,0xffffff,0,15dcdd61,44812556288131075,做手术时这个导丝另外收费的
44,188.02800,滚动弹幕,25,0xffffff,0,af8d50df,44777934723481607,草 那个螺丝已经很小了
45,215.21000,滚动弹幕,25,0xffffff,0,29780faa,44724851694370823,吹几个大气压哈哈哈哈
46,97.32000,滚动弹幕,25,0xffffff,0,69a7aa9e,44679514286456835,穿个白衣服更显专业
47,157.54400,滚动弹幕,25,0xffffff,0,2060bda1,44649844945453059,可以从大动脉穿进去到心脏
48,109.60300,滚动弹幕,25,0xffffff,0,8150c9f7,44610920784068615,我总感觉bgm是要上课了……
49,218.91400,滚动弹幕,25,0xffffff,0,98ac8947,44514664270790663,这个估计以后公司要出一个官方开箱啦
50,130.02400,滚动弹幕,25,0xffffff,0,fb930460,44507775089770501,我被局部麻醉的时候见过这东西，超恐怖
51,56.57300,滚动弹幕,25,0xffffff,0,b0089e7b,44488018718883843,手术里要扫码的，属于高耗
52,253.93900,顶端弹幕,25,0xfef102,0,22b57168,44485955998449669,说爆血管的，你血管里压力很大的！而且你的血管承压也很大
53,118.40400,滚动弹幕,25,0xffffff,0,9dcf5410,44461189110431749,美式单兵口粮mre
54,142.42500,滚动弹幕,25,0xffffff,0,b2b1e74a,44451261899603971,导丝导管球囊支架
55,152.24100,滚动弹幕,25,0xffffff,0,1a5bc399,44448946923241479,不是导丝是推送杆！
56,95.09900,顶端弹幕,25,0xffffff,0,c09881d8,44435212066619399,词 类 活 用
57,74.81400,滚动弹幕,25,0xffffff,0,53d60d45,44410380527599623,过期六年了，当年应该还挺贵的
58,145.87900,滚动弹幕,25,0xffffff,0,c54ce1a9,44409732309975047,那个钩子是防止金属丝损伤血管壁的
59,107.31900,滚动弹幕,25,0xffffff,0,526ee780,44407924548698115,我还以为这么大个包装本体这么小呢
60,147.57900,滚动弹幕,25,0xe70012,0,7f80693b,44392996688887815,语言艺术哈哈哈
61,20.45900,滚动弹幕,25,0xffffff,0,bddf7b90,44391991251828743,硬核开箱
62,139.15900,滚动弹幕,25,0xe70012,0,2bc9f330,44371769040568325,非常的形容词啊
63,137.62000,滚动弹幕,25,0xffffff,0,fd5d365b,44324055299391491,各种词类活用……
64,307.17800,滚动弹幕,25,0xffffff,0,9558e8e8,44316389664620551,不会太痛，从手腕的静脉进去到心脏血管，我装过
65,127.60000,滚动弹幕,25,0xffffff,0,2d8a7575,44295069231480837,这是送支架的导丝
66,317.29900,滚动弹幕,25,0xffffff,0,57bd527a,44293385095217157,里面的气囊用高压泵加压就撑起来了
67,204.93900,滚动弹幕,25,0xffffff,0,b6353417,44273397061386311,组成支架的零件太细了
68,99.10200,滚动弹幕,25,0xfe0302,0,4291d96a,44261725303209987,公共场合，禁止套娃
69,109.09900,底端弹幕,25,0xffffff,0,922126a1,44254144554860547,我仿佛听见了珍草堂广告的声音
70,238.79700,滚动弹幕,25,0xffffff,0,722e313c,44235653413601283,漏气了不就爆血管？（安装时）
