,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,43.19000,滚动弹幕,25,0xe70012,0,cbf58724,1022946316235667456,联  合  狩  猎
2,41.94200,顶端弹幕,25,0xa0ea,0,69365e62,973913670669164544,新型诈骗方式
3,58.21500,顶端弹幕,25,0xffffff,0,a2880d02,965237016148738048,三 顾 茅 庐
4,42.36200,顶端弹幕,25,0xffffff,0,ba7697de,58609694493507072,《微分》
5,57.65300,顶端弹幕,25,0xe70012,0,c2383b2b,55830803801770496,连 环 诈 骗 案 件
6,42.84100,顶端弹幕,25,0xffffff,0,91605ab1,54659647204480000,双 重 诈 骗
7,47.96800,滚动弹幕,25,0xffffff,0,aa92ad24,53660724257542144,“ 连 环 诈 骗 ”
8,50.54600,滚动弹幕,25,0xffffff,0,e1bccb27,53038825531980800,《从百草园到三味书屋》
9,45.93700,顶端弹幕,25,0xffaa02,0,3d2c588b,50516461821100039,逆 转 录
10,50.77900,顶端弹幕,25,0xffffff,0,b8ba1710,48667655211057159,三 维 展 开
11,44.03900,顶端弹幕,25,0xffffff,0,b8ba1710,48667641053184007,二 次 求 导
12,0.09900,顶端弹幕,25,0xfef102,0,4741c55d,48028694691184645,我试过，程序直接报错
13,49.16300,顶端弹幕,25,0x9843,0,a510f76,48014492720693251,《百草园》
14,50.05900,顶端弹幕,25,0xe70012,0,e2cd2f82,45430610240995333,三 阳 开 泰
15,14.11900,顶端弹幕,25,0xfef102,0,3c260b7,45210838051061763,等 不 到
16,40.65700,顶端弹幕,25,0xffffff,0,e17d0daa,45112290643542023,连环诈骗案
17,27.86700,顶端弹幕,25,0xffffff,0,880a7af0,45076780961759239,逐渐成型
18,37.69600,顶端弹幕,25,0xe70012,0,31c0e87b,45034567057276933,）=除草机
19,51.69400,底端弹幕,25,0x9843,0,811f32bd,45022384624762887,举        一        反        三
20,49.43000,顶端弹幕,25,0xfef102,0,c4a4588,45019136223870983,三 羊 开 泰
21,42.76900,底端弹幕,25,0xfef102,0,cfc2960b,45015644325806083,《二 重 压 缩 欺 骗》
22,45.18600,顶端弹幕,25,0x4266be,0,ddd608af,44990753543290885,连 环 诈 骗
23,50.95400,顶端弹幕,25,0xe70012,0,26e977c8,44983289856917507,完了进入了敌人的包围网了
24,49.86200,顶端弹幕,25,0xe70012,0,daa0f51a,44979497014394887,举 一 反 三
25,43.54200,顶端弹幕,25,0xe70012,0,1b540ca9,44939419850375171,D  N  A  转  录
26,6.52500,顶端弹幕,25,0xe70012,0,2aaf0fc,44852000762363911,前排提示:这是连环诈骗案 快跑
27,49.30500,顶端弹幕,25,0xe70012,0,d7fcc034,44727278923415555,不  忘  初  心
28,54.05900,顶端弹幕,25,0xa0ea,0,f4a10240,44725121572143109,瞒   天   过   海
29,50.04100,顶端弹幕,25,0xe70012,0,c74d685b,44682323268993027,基 因 工 程
30,42.36100,顶端弹幕,25,0xe70012,0,c74d685b,44682314087661571,基 因 工 程
31,29.66200,顶端弹幕,25,0xfef102,0,9c78ea3a,44649172390379527,*蓄力以触发三段攻击
32,51.34200,底端弹幕,25,0xf0ab2a,0,dc4b8d4d,44546306448818181,亚 极 陀 三 位 一 体 形 态
33,51.45900,顶端弹幕,25,0xffffff,0,b8ba1710,44453058055766023,三 次 求 导
34,46.09900,顶端弹幕,25,0xffffff,0,b8ba1710,44453037407731715,二 次 求 导
35,24.93900,顶端弹幕,25,0xfef102,0,9b1f48de,44452804921131013,尺 规 作 图
36,50.34200,顶端弹幕,25,0xfef102,0,fe3b4336,44440709768413187,帽   子   戏   法
