,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,278.36200,顶端弹幕,25,0xe70012,0,c38208c6,1005238112797955072,玄学类文本
2,138.82400,顶端弹幕,25,0xffffff,0,83d03e99,1005233834943689728,好家伙我语文75，作文45。。。。
3,138.79800,顶端弹幕,25,0xf0ab2a,0,97ec5d01,991196370440773632,确实啊，不知道语文课有什么用
4,187.05000,底端弹幕,25,0xfef102,0,693c650e,987575787917598720,《活跃本》
5,495.39900,滚动弹幕,25,0xffffff,0,34fca8ea,984842240313556992,代入感很强已经开始害怕了
6,334.63900,滚动弹幕,25,0xffffff,0,e4e72b38,981427034791641088,变的是内容，不变的是学习的方法
7,181.81200,滚动弹幕,25,0xffffff,0,4e0bb4ab,976618279150149632,寒假只有9天限制了我的想象
8,286.24100,顶端弹幕,25,0xfe0302,0,894fa3d5,975050935181852672,夺命十九分
9,84.86400,滚动弹幕,25,0xffffff,0,7c470122,974684045586612224,卷子都留着呢，每次烦烦，记积累的重点。感觉错题本太耗精力了。
10,85.81400,滚动弹幕,25,0xffffff,0,da0f13b4,973286104288362496,《学渣》
11,102.05400,顶端弹幕,25,0xcc0273,0,45cc0cf1,972272968703664128,这个BGM好像是一个BGM
12,270.54600,滚动弹幕,25,0xffffff,0,553b247f,970193105553678336,熟悉的背景音乐……【doge】
13,356.22100,底端弹幕,25,0xffff00,0,c67017c9,968701182504337408,求姐姐讲讲基础，我阅读长期不扣分，基础真的烧脑壳！！！
14,290.03000,顶端弹幕,25,0xe70012,0,fbe283f2,966949801613180928,救命，那是你，少凡尔赛了
15,198.04100,顶端弹幕,25,0xe70012,0,61102511,966826814983880704,思路清晰，先说BP
16,277.53600,顶端弹幕,25,0xffff00,0,bc09cd82,965976137672032256,开卷夺命9分有无？
