,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,37.42700,顶端弹幕,25,0xe70012,0,ee2fe513,46692911024701443,同种电荷相互排斥
2,23.18800,顶端弹幕,25,0xfef102,0,86f8f452,46082520775131141,数学老师
3,34.05900,滚动弹幕,25,0xffffff,0,255e1d80,45996516165287943,手速惊人阿老师
4,44.33600,滚动弹幕,25,0xffffff,0,44722c38,45958013152395267,光明正大的使用魔法
5,39.53900,滚动弹幕,25,0xffffff,0,2ff8b27a,45943490524741635,《 伏 红 惠 》
6,44.42000,顶端弹幕,25,0xe70012,0,da80c30a,45943142732005381,伏 黑 惠
7,40.31900,滚动弹幕,25,0xe70012,0,ccbfbf1b,45939228819324931,我们老师就读了一遍课本原画让我们记……
8,50.57600,滚动弹幕,25,0xffffff,0,7fb46a29,45937814352691207,禁止在麻瓜面前表演魔法
9,52.11300,滚动弹幕,25,0xffffff,0,bbc94bdb,45904475931541509,禁止对麻瓜使用魔法
10,39.55900,顶端弹幕,25,0xe70012,0,aa0d5f49,45887329663451141,霍  格  沃  茨
11,52.23000,顶端弹幕,25,0xffffff,0,215abda1,45862712832425989,使数学老师漂浮在空中
12,47.87200,滚动弹幕,25,0xffffff,0,f713bc1,45816171119247367,你骗人！你是魔术师，你会使用魔法
13,47.40800,滚动弹幕,25,0xffffff,0,a347cf31,45809829119787015,数学老师=静电章鱼
14,28.70300,滚动弹幕,25,0xffffff,0,57b83be0,45807696105439235,禁止在麻瓜面前使用魔法
15,50.93900,滚动弹幕,25,0xffffff,0,e55e92d4,45797444571103237,对数学老师有向上的排斥力
16,53.82000,顶端弹幕,25,0xe70012,0,ac9e7297,45795738485522435,忽地想起了《刻刻》里的树人
17,35.76800,顶端弹幕,25,0xe70012,0,86928ec5,45757051506262019,三维展开
18,36.02500,顶端弹幕,25,0xe70012,0,8de7b8ed,45738595512745991,静电章鱼
19,1.43700,顶端弹幕,25,0xfef102,0,4bd25749,45725911314595845,数学老师，我刚开始还真以为数学老师，一脸懵逼
20,25.20000,滚动弹幕,25,0xffffff,0,258615cf,45725190956515335,丝玻正，毛橡负。老师交的到现在还记得！
21,40.50000,顶端弹幕,25,0xffffff,0,f66b8c22,45723481762430981,领 域 全 开
22,42.82000,底端弹幕,25,0xfef102,0,ce9a9499,45723200204570627,禁止在麻瓜面前使用魔法
23,41.88400,滚动弹幕,25,0xe70012,0,56fdb7a8,45712458744594439,《正电章鱼》
24,39.93900,滚动弹幕,25,0xffffff,0,93da4332,45708456737898501,出现了！蜘蛛球，快使用数码宝贝蛋逮捕它！
25,53.05900,滚动弹幕,25,0xffffff,0,754c2a3e,45703891166691333,对数学老师有向上的排斥力
26,41.22000,滚动弹幕,25,0xffffff,0,1baf4cd2,45702957739540483,禁止在麻瓜面前使用魔法
