,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,155.93900,滚动弹幕,25,0xffffff,0,2bbf323e,1024815818502023680,倒计时60天才看到这个视频的我
2,84.77300,顶端弹幕,25,0xffffff,0,79998a4e,1024004791606805504,啊确实，我听着听着就走神了
3,7.89900,滚动弹幕,25,0xffffff,0,d8e0d426,1023011085567222784,上次一模生物14分，我裂开了
4,64.35900,滚动弹幕,25,0xffffff,0,38737b9,1022357382921035264,汗水臭甥（bushi）
5,126.03400,滚动弹幕,25,0xffffff,0,9b8fa060,1018606889719856128,那要是每一节都薄弱呢
6,326.11800,滚动弹幕,25,0xffffff,0,37de43a3,1016042811960645632,《很长》
7,23.01700,滚动弹幕,25,0xffffff,0,6b062f80,1015724390836738048,姐姐跟令人心动的offer里面的郭律师好像啊
8,4.00600,滚动弹幕,25,0xffffff,0,68cebf9a,1009541521466400768,幻视：国伟
9,292.16200,滚动弹幕,25,0xffffff,0,38c43e0e,985511298734317568,众所周知生物是个文科（doge）
10,243.28700,滚动弹幕,25,0xffffff,0,c842d6f9,983103641882853376,听困了居然……梦回课堂
11,11.04000,滚动弹幕,25,0xffffff,0,43718747,982673930444251136,《  六  七  十  分  》
12,11.04000,滚动弹幕,25,0xffffff,0,43718747,982673802445062144,《  基  础  好  的  同  学  》
13,258.18500,滚动弹幕,25,0xffffff,0,65a93dcd,981275654790717440,但课外练习题其实大同小异，只是我高中布置的作业和我复习节奏不一样，所以做了取舍。
14,354.88900,顶端弹幕,25,0x9843,0,3dadd23c,977402090875371520,《简单》
15,22.76000,滚动弹幕,25,0xffffff,0,7034396b,976822784879116288,那怎么从70分提到80我卡了好久了
16,269.06200,滚动弹幕,25,0xffffff,0,5b7c90c7,973361827279806464,生物书真的非常重要！！
17,151.79900,滚动弹幕,25,0xffffff,0,4c17dc6,970329735350149120,本人有幸只有必修二上八十
18,206.68900,滚动弹幕,25,0xffffff,0,de44a5c1,968295088532979712,完蛋了新教材
19,368.43100,顶端弹幕,25,0xe70012,0,877f7c1e,965093747281035264,大师，悟了！！
20,18.39900,顶端弹幕,25,0xe70012,0,811b4114,963902360510226432,生物课一直都在睡觉，但是我可以及格
21,365.64300,顶端弹幕,25,0xffff00,0,73f009e1,962314414083284992,存 天 理 灭 人 欲
22,209.06300,滚动弹幕,25,0xe70012,0,afe619b7,960933209780699136,遗传题不是一听就回的吗？
23,35.13500,顶端弹幕,25,0xfe0302,0,de441162,959577121431396352,生物是真的难，靠，主观题表达真的难其他没问题
24,111.83800,滚动弹幕,25,0xfe0302,0,1200b7c3,959564142725996544,画风突变
25,253.75200,顶端弹幕,25,0xe70012,0,83cc0aa1,957220725913362432,真的要练习册的话
26,93.21300,滚动弹幕,25,0xffffff,0,4cf15ea4,956369472580657152,两种都经历过
27,253.51100,滚动弹幕,25,0xffffff,0,74c92f6b,955879631828746240,决定了，寒假作业不写了
28,148.98000,滚动弹幕,25,0xffffff,0,441e60ea,955736417057439744,我们上必修二恰逢疫情，老师讲课光开麦忘记开摄像头了
29,21.49900,滚动弹幕,25,0xffffff,0,7402c27d,955638327154409472,好家伙我94分了唉（满分100）
30,241.04400,滚动弹幕,25,0xffffff,0,722efb4a,59674310525116416,画风突变
31,249.45900,滚动弹幕,25,0xffffff,0,4f11e922,59655342974451712,作业真的写不完，一道数学大题就得十分钟以上…
32,156.16700,滚动弹幕,25,0xffffff,0,161db246,59452429781646336,必修二痛苦面具
33,293.01100,滚动弹幕,25,0xffffff,0,cfc2d571,59111704724893184,草背景音乐早上起床铃声
34,150.69900,滚动弹幕,25,0xffffff,0,47ac7db5,58972805449006592,妈耶遗传题太难了
35,126.09900,滚动弹幕,25,0xffffff,0,b95373ce,58913146365927424,大中午的还有十几个人卷
36,321.46500,顶端弹幕,25,0xe70012,0,dfe7ebe4,58826330369838080,听懂掌声
37,55.33200,顶端弹幕,25,0xfe0302,0,ce402f68,58817743450126336,利韩狂喜！！
38,232.17400,滚动弹幕,25,0xffffff,0,5745a58b,58703144727831040,？！我原来的上课铃
39,139.68400,滚动弹幕,25,0xffffff,0,f9299c59,58520640942815232,卧槽好真实
40,238.64300,滚动弹幕,25,0xffffff,0,51f387b,58385400078801408,我一个会考全考的文科生火速来补生物……
41,331.88000,滚动弹幕,25,0xffffff,0,bd0f3d4,58174248848744448,《可好玩了》
42,148.79800,滚动弹幕,25,0xffffff,0,2cc698e4,58161385715189760,一粒豌豆一个实验整疯全国考生
43,343.39500,滚动弹幕,25,0xffffff,0,322761dd,58072812233257472,课间操跑步怎么办，必须得跑
44,36.51900,顶端弹幕,25,0xe70012,0,f96debaa,57846972732332544,我高中生物老师！！！
45,58.34900,滚动弹幕,25,0xffffff,0,46f98626,57753237347961344,《贴心》
46,326.20800,滚动弹幕,25,0xffffff,0,5d6596f5,57740503261444096,那么问题来了我都寒假一个周
47,150.65900,滚动弹幕,25,0xffffff,0,272cd1a9,57709171243728384,哈哈哈哈我遗传有救了
48,236.81900,滚动弹幕,25,0xffffff,0,4611a717,57570941873670144,上课铃吓一跳
49,250.47900,滚动弹幕,25,0xffffff,0,ad761a4e,57564253955100672,这个铃是我们午觉结束闹钟
50,229.37800,滚动弹幕,25,0xe70012,0,cb815962,57521875563180544,救命  上课了拜拜
51,377.40200,滚动弹幕,25,0xffffff,0,b4b44cc8,57520187391035904,把生物提上去，立帖为证
52,258.40700,滚动弹幕,25,0xffffff,0,f4c4544d,57482577458816512,生物只有遗传题可以满分怎么办呜呜呜
53,77.45800,滚动弹幕,25,0xffffff,0,4bf332a4,57431804794935296,高一也想听的哈哈哈
54,367.30300,滚动弹幕,25,0xffffff,0,a5fbd4c1,57256136493240832,帅哥会影响学习！黄夫人：那我走？
55,140.44100,顶端弹幕,25,0x90c320,0,a5fbd4c1,57256001876950016,孟德尔：给我一粒豌豆，我能壁疯一群学生
56,129.11100,滚动弹幕,25,0xffffff,0,acef1bf1,57064818260203520,这方面我没有选择困难，因为我每课都是短板
57,239.16600,滚动弹幕,25,0xffffff,0,5c457705,56913663994498560,事实，我同学一轮就买了各种资料，笑死根本写不完。就是在做无用功
58,212.79700,滚动弹幕,25,0xffffff,0,416cac5f,56623237259074560,最后一天晚上写作业 doge
59,298.38500,滚动弹幕,25,0xffffff,0,fca53af5,56280379548194304,理科生表示我们老师经常强调读课本
60,225.68700,滚动弹幕,25,0xffffff,0,9c064559,56255954554212352,草这是我上课铃声，给我吓一激灵
61,342.47100,滚动弹幕,25,0xffffff,0,9e17af61,55973660204805120,你眼神游离了！！1！
62,193.19900,滚动弹幕,25,0xffffff,0,fed723b2,55797889205318656,作业只是老师的安排，重要的是自己的安排
63,325.14200,滚动弹幕,25,0xffffff,0,38b99641,55791386771051520,一本涂书加课内作业加课本自学完选修一
64,256.68400,滚动弹幕,25,0xffffff,0,3cdd1a3b,55669370340265472,血压上来了，那种人是真的服
65,148.20900,顶端弹幕,25,0xffff00,0,45437ba2,55523148822636544,我70多分是不是有点少{doge}
66,276.89900,滚动弹幕,25,0xffffff,0,acf7749a,55281543538632704,文科医学生来补高中的
67,49.63600,顶端弹幕,25,0xe70012,0,76a7772a,55100648590919168,进击的巨人
68,53.39800,顶端弹幕,25,0xfe0302,0,5e72a,55074514293969408,问题是一上来就90咋办
69,192.87700,滚动弹幕,25,0xffffff,0,1c80699e,54703791843888640,我觉得复习必修三的性价比更高
70,279.11100,滚动弹幕,25,0xfe0302,0,849d025a,54624537696536576,细节很恐怖很重要
71,164.05500,滚动弹幕,25,0xffffff,0,849d025a,54624470287729664,那生物DNA尤其是选修一粉本那块咋办】
72,104.86200,滚动弹幕,25,0xffffff,0,e266e2e,54076089352914432,自以为多年的冬天暖手秘密竟然被你发现了
73,217.96500,滚动弹幕,25,0xffffff,0,249c6d04,54039673725786112,giao我刚好相反，必修二忘了一大堆写暑假作业，写完再看课本重新理解
74,112.32500,滚动弹幕,25,0xffffff,0,5fcc906,54036603891062272,哈哈哈哈姐姐好可爱哈哈哈哈
75,368.15500,顶端弹幕,25,0xff7204,0,1cfa90dd,53923611135456768,《真 香 定 律》
76,140.05100,滚动弹幕,25,0xe70012,0,a2d79657,53904771998513664,遗传感觉不是很难，就还好（主要本人粗心）
77,68.32900,滚动弹幕,25,0xffffff,0,58d6c4c3,53203687872096256,我一般是手指按住屏幕听
78,134.25900,滚动弹幕,25,0xfef102,0,8f6fa275,52730962393432067,关键是我哪里都薄弱
79,106.62300,滚动弹幕,25,0xffffff,0,7f8cc103,52588807475167237,wc，你偷窥我上课？
80,271.01700,滚动弹幕,25,0xe70012,0,ba51d7ac,52099384327798787,生物四五十分真的绝望
81,138.45700,顶端弹幕,25,0xffffff,0,1bbfc5a3,51867270583943175,必修二yyd痛
82,272.53900,滚动弹幕,25,0xffffff,0,315c8ec,51843646288822275,不当老师可惜了hhh
83,100.25900,滚动弹幕,25,0xffffff,0,ab34cccd,51832302059651077,靠，真实了
84,201.19100,滚动弹幕,25,0xffffff,0,69142674,51738544328671237,依稀记得理综一分钟拿两分···
85,360.54600,滚动弹幕,25,0xffffff,0,c7739ffe,51409405727997957,新高考考生表示今年生物难到爆炸！
86,109.84300,滚动弹幕,25,0xffffff,0,e20d8610,51374759364526085,如果我没错就请立刻打我，而不是让我在这等着被打的时候被叼胃口
