,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,117.06200,滚动弹幕,25,0xffffff,0,ef1a7c73,1021727215219867136,《初音未来的消失》
2,116.74400,顶端弹幕,25,0xe70012,0,6e520b7b,53540049345828352,动力强劲
3,27.67900,滚动弹幕,25,0xffffff,0,aba651c5,53000969489189376,我特意暂停然后乐的哈哈哈哈哈
4,123.61900,顶端弹幕,25,0xe2027f,0,581cd8a1,52006009738625031,初音未来的消失
5,133.66700,滚动弹幕,25,0xffffff,0,9f13fa3e,51519725941817347,姆爷直呼内行
6,127.98900,滚动弹幕,25,0xffffff,0,f9cce866,51500847610200067,Eminem！《Rap God》
7,0.00000,顶端弹幕,25,0xffffff,0,d6daec0e,50865535683395587,名场面
8,5.77100,顶端弹幕,25,0xffffff,0,d6daec0e,50865519436234755,名场面
9,126.88300,顶端弹幕,25,0xffff00,0,cf868eeb,50157980624617477,英国人：我不行。
10,11.48200,顶端弹幕,25,0xfef102,0,84ce0942,48751469469892615,咕噜咕噜~
11,147.09200,滚动弹幕,25,0xffffff,0,6ebab63b,48605365433532419,《你肯定不行》
12,126.86300,滚动弹幕,25,0xffffff,0,e39607a6,47523687556972547,笑容逐渐僵硬
13,117.41700,顶端弹幕,25,0xe70012,0,92680bf4,46906241639251973,喷气式超强巡航发动机
14,115.02700,滚动弹幕,25,0xffffff,0,f0ca45fb,46586645333409799,《6秒说8句英文》哈哈哈哈哈哈哈
15,104.80100,滚动弹幕,25,0xffffff,0,1217cc05,46377768520777731,《你可以6秒说出8句英文吗？》
16,114.94800,顶端弹幕,25,0xa0ea,0,c6fb761d,46124110553022469,来了，这个笑死
17,114.70100,顶端弹幕,25,0xa0ea,0,473847de,46115112640577541,《初音未来的消失》
18,117.65900,滚动弹幕,25,0xffffff,0,408dcb3a,46082642862407685,师傅别念了.jpg
19,135.49900,顶端弹幕,25,0xa0ea,0,bc3e0062,46069717122154499,青出于蓝胜于蓝
20,59.35100,滚动弹幕,25,0xffffff,0,7047cc55,45996676201054215,这位老师好温柔
21,54.28200,滚动弹幕,25,0xffffff,0,3503ed3d,45987032727552003,BGM：Talk-khalid
22,1.07700,顶端弹幕,25,0x89d5ff,0,9b2f6d09,45927185297965059,小朋友好可爱，像愤怒的小鸟一样
23,28.15700,顶端弹幕,25,0xe70012,0,565edaa9,45853004324143111,这个睫毛是真实存在的吗！！！？？？
24,119.35100,滚动弹幕,25,0xffffff,0,1df57fe6,45798197712388099,感觉…听到了医生医嘱的语音版
25,117.33600,顶端弹幕,25,0xe70012,0,1f7b135b,45773572229562373,《rap god》
26,124.03400,滚动弹幕,25,0xffffff,0,1f7b135b,45773538989703171,《rap god》
27,25.30600,滚动弹幕,25,0xffffff,0,3b218060,45723277682802695,太帅了！太可爱了！超级迷人！啊啊啊
28,0.09900,顶端弹幕,25,0xe70012,0,d66fd097,45694759425540101,国家一级英语教师
29,112.85900,顶端弹幕,25,0xe70012,0,ef5f8ae7,45681291790123015,经典永流传
30,111.43900,滚动弹幕,25,0xffffff,0,7e1b4c82,45679868955852807,哈哈哈哈哈哈哈已经知道是谁了
31,110.30200,滚动弹幕,25,0xe70012,0,95316898,45648842383687683,这个简单啊，我直接给你调成二倍速（dog）
32,56.66200,滚动弹幕,25,0xffffff,0,a5d2c74f,45626373217189895,安妮海瑟薇哈哈哈
33,11.25900,滚动弹幕,25,0xffffff,0,c1e962b5,45570682433568771,令人回味无穷的嘴角笑死哈哈哈哈哈哈
34,101.74700,滚动弹幕,25,0xe70012,0,27bc9b69,45561617045782533,BGM:talk
35,109.35000,顶端弹幕,25,0xe70012,0,97044e77,45499899210891269,经典咏流传
36,144.08400,滚动弹幕,25,0xffffff,0,26a4cce8,45498519590010885,哈哈哈哈差点头笑飞了hh
37,123.46100,顶端弹幕,25,0xe70012,0,79b87ef5,45491726497873925,《你肯定不行》
38,41.67300,滚动弹幕,25,0xffffff,0,6957715d,45474589531701251,突然get到他的帅
39,60.99300,滚动弹幕,25,0xffffff,0,f85ebc7d,45473729468170245,BGM:talk——（khalid，disclosure)
40,143.51700,滚动弹幕,25,0xffffff,0,1d20ce0b,45454630810288131,一模一样哈哈哈哈哈哈
41,130.59500,滚动弹幕,25,0xffffff,0,b9e35c15,45450154567270407,姆爷直呼内行
42,145.46800,底端弹幕,25,0xe70012,0,17cddaa8,45429054271127557,这是rap吗hhhc
43,50.81900,顶端弹幕,25,0xe70012,0,27072079,45426525165584391,记得2021年的第一场雪
44,115.04800,顶端弹幕,25,0xe70012,0,dc298206,45391830187507715,初音ミクの消失
45,48.17900,顶端弹幕,25,0xffffff,0,688723b6,45386509744865285,理塘英语角的老师
46,31.92100,顶端弹幕,25,0xe70012,0,c3dc8f46,45366227765297159,BGM：Talk
47,72.41900,滚动弹幕,25,0xffffff,0,4c924909,45364940525535237,你的英语更清楚，更容易听懂（doge）
48,98.80300,顶端弹幕,25,0xffff00,0,9b134801,45360327134543877,前方高能笑死我了
49,129.93500,滚动弹幕,25,0xffffff,0,b7871102,45347977487187975,我决定了，我也要当这个老师的学生
50,105.36300,滚动弹幕,25,0xffffff,0,22524124,45346419154878469,让阿消来念（经典快口）
51,111.25900,滚动弹幕,25,0xffffff,0,5118813a,45346062645329925,已经开始笑了，专业选手来了哈哈哈哈
52,112.28100,顶端弹幕,25,0xe70012,0,17068404,45336435351355395,英语听力考试开始
53,135.46500,滚动弹幕,25,0xfef102,0,1c75c827,45318058172481539,好家伙，阿姆来了
54,102.28400,滚动弹幕,25,0xffffff,0,373489fa,45307619901440007,不，我只需要你们说得更慢（doge）
55,112.57400,滚动弹幕,25,0xa0ea,0,c43c1b89,45270711198547975,笑死我了我已经开始笑了
56,121.54000,滚动弹幕,25,0xffffff,0,8a02eea5,45265789932011527,《初音未来的消失《》
57,109.01500,滚动弹幕,25,0xe70012,0,cdb2d059,45255606933651459,职业选手禁止参赛
58,126.63800,滚动弹幕,25,0xffffff,0,4807921f,45255190210150407,《大悲咒》
59,7.93900,顶端弹幕,25,0xe70012,0,d2934694,45253933511213063,名场面
60,36.19800,顶端弹幕,25,0xffffff,0,f3f3f823,45227733603581955,up好可爱哈哈哈
61,121.31500,滚动弹幕,25,0xffffff,0,5ec3ad3b,45220271778430981,姆爷直呼内行
62,140.39400,滚动弹幕,25,0xffffff,0,bc384e93,45217859775758341,哈哈哈哈哈哈哈哈哈毫无违和感
63,123.83800,顶端弹幕,25,0xffffff,0,41caf057,45213565089480711,砍油踹？！
64,42.64400,滚动弹幕,25,0xffffff,0,39b11f48,45206451859226631,好的，已经订购了一卡车安安了
65,101.11700,滚动弹幕,25,0xffffff,0,56b96157,45204971983470595,我现在只能听懂德式发音的英语
66,40.89900,滚动弹幕,25,0xffffff,0,72c90cd4,45182906134429699,这个挑眉安妮海瑟薇本薇了
67,123.55700,滚动弹幕,25,0xffffff,0,f9f23b98,45179290816348165,这期怎么让高考抱听力的人看到
68,122.09900,滚动弹幕,25,0xe70012,0,e53c961d,45169998781480963,上头哈哈哈哈哈哈哈哈
69,53.27100,顶端弹幕,25,0xfef102,0,54ea2cfa,45161775618326531,这是2003年的第一场雪～～～
70,129.15900,滚动弹幕,25,0xe70012,0,dd58b5fa,45161047253843973,你不要笑得这么温柔啊啊啊啊啊啊啊
