,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,191.96100,滚动弹幕,25,0xe2027f,0,b947e66e,1021906203275487232,这个朴实无华的广告我爱了
2,250.91300,滚动弹幕,25,0xe70012,0,ace5662c,1019323127903357440,好家伙，这广告比正片还长！
3,264.13200,滚动弹幕,25,0xffffff,0,7ac4995e,1015028579123160576,肝帝：只要我在家办公，就没人能伤我心
4,183.06900,滚动弹幕,25,0xfef102,0,f99d6b14,1012468501857916416,此屏幕在俄乌战争中发挥重要作用（doge）
5,187.34400,滚动弹幕,25,0xfef102,0,43681793,999084150185176064,我盲猜，肝帝得到了它。。。
6,39.49900,滚动弹幕,25,0xffffff,0,8d6a61ec,980165446460907520,董叔的一生之敌
7,33.07900,滚动弹幕,25,0xffffff,0,25503825,973122718190215168,哈哈，表情满分
8,151.56900,滚动弹幕,25,0xffffff,0,1968b542,968333348863942656,设置这种奖品，老板高兴坏了
9,77.29900,滚动弹幕,25,0xffffff,0,dd22c04c,958452236283068416,肝帝日常痴迷
10,90.99700,顶端弹幕,25,0xe70012,0,b6a31d69,59026203022117376,然而他每次转发的b站抽奖从未中过
11,109.87800,顶端弹幕,25,0xffff00,0,fbd0d22,58750759120812544,本集最有价值镜头
12,80.11900,滚动弹幕,25,0xffffff,0,1d5cbf19,58011393874700288,肝帝要“爆肝儿了”哈哈哈哈
13,309.96100,滚动弹幕,25,0xfef102,0,65b0b426,55349477991233536,肝帝：办公设施被你拿来谈恋爱，还是跟他？
14,254.69500,滚动弹幕,25,0xffffff,0,228604b7,55211373816236032,肝帝被装进小盒儿里了？（bushi
15,78.36200,滚动弹幕,25,0xffffff,0,9836c963,55070251517230080,"小ER 肝帝已经承 帝:我瞅准 技MAX ,我"
16,50.48900,滚动弹幕,25,0xffffff,0,9836c963,55070236897612288,卑微の肝帝 特色了
17,127.49800,滚动弹幕,25,0xffff00,0,6ec48d69,54988282173660672,肝帝一生之敌
18,262.81000,滚动弹幕,25,0xffffff,0,63232b7,54126748414796800,已经买了，孩子说很好吃，准备再买一箱！
19,14.01900,滚动弹幕,25,0xffffff,0,e2a9af79,51647322103218181,好家伙 一进门就脱衣服 太热情了
20,59.96700,滚动弹幕,25,0xffffff,0,31e6d134,51241466303348739,《编辑部的故事2》
21,41.07500,滚动弹幕,25,0xffffff,0,3c5bdc9a,50741746312675331,可恶，又被他装到了
22,12.47100,滚动弹幕,25,0xffffff,0,779b5591,50388730392346631,我说，你们衔接的挺好啊
23,65.71900,顶端弹幕,25,0xfef102,0,212b87c1,50238127280750595,查理九世
24,165.33900,滚动弹幕,25,0xffffff,0,12b1f70,50221609198813191,已买很好用团队办公利器
25,50.37900,顶端弹幕,25,0xfef102,0,a40439c3,50208205626671109,肝帝委屈
