,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,109.11000,滚动弹幕,25,0xffffff,0,f7fda157,1016073235294557184,曾老师应该是胃肠外科的
2,142.38000,滚动弹幕,25,0xffffff,0,f493d82f,974710007884947456,我解剖课上有一次有幸参观了研究生解剖后还没处理的大体老师。不知道是不是福尔马林的味道。。。就算开着排气扇，我下课后还是屏蔽了厕所的味道。。。
3,160.25000,滚动弹幕,25,0xffffff,0,fe83cea2,970781563915354112,辛苦啦，从此后看你的视频都点赞投币
4,36.75500,滚动弹幕,25,0xffffff,0,a4c59050,967259325947256832,这种急诊早就了医生伟大的光环
5,69.16600,滚动弹幕,25,0xffffff,0,1ab2b14c,59060244836047872,然后几百块钱分给麻醉科医生和护士一部分，医院拿一部分，自己拿的并不多
6,167.02700,滚动弹幕,25,0xffffff,0,1c354dcf,58911185659675136,哈哈哈，投个币安慰你一下
7,153.51900,滚动弹幕,25,0xffffff,0,1de730cf,57694353172543488,知识改变命运
8,132.57500,滚动弹幕,25,0xffffff,0,2fe37018,57343514452759552,所以你们不觉得护士才是最辛苦的吗？什么事情都要做
9,163.45500,滚动弹幕,25,0xffffff,0,369440e8,57238735890391040,哈哈 曾医生好幽默
10,112.86000,滚动弹幕,25,0xffffff,0,f26c169e,56643989776024576,休息！他说的是手术室！不是手术间！
11,8.20100,滚动弹幕,25,0xffffff,0,fa3b9cc3,53663064566996992,哇，原来我们影响还不是最底层啊
12,15.22000,滚动弹幕,25,0xffffff,0,51b94b8a,51363057873977347,是个人都能命令麻醉医生
13,158.05500,顶端弹幕,25,0xffffff,0,f33278e1,51227849498558471,知识只能改变命运所在的场所
14,105.62000,滚动弹幕,25,0xffffff,0,b38a5318,50352429231243267,当初规培轮胃肠肠梗阻最后都是让我洗标本，永生难忘
15,38.44000,滚动弹幕,25,0xe70012,0,d387823b,50227495780220935,神外医生笑而不语。。
16,132.43300,滚动弹幕,25,0xffffff,0,f61850ec,49864634558054405,就好像我们工科里认识一个环境工程的，他们那个简直了
17,125.89800,滚动弹幕,25,0xffffff,0,43706864,49658291710066691,卑微哈哈哈
18,150.21600,滚动弹幕,25,0xffffff,0,44b93220,49197316123918343,好有味道啊！得画面
19,147.81400,滚动弹幕,25,0xffffff,0,9892dce1,48964268893667333,有谁能跟夹层比吗？一台十小时起步
20,67.35100,滚动弹幕,25,0xffffff,0,fb952cc9,48481229904805895,康复最底层了
21,79.33900,滚动弹幕,25,0xffffff,0,d9b157b,47656915244679173,原来关节的价钱医生还有提成，我以为都是按照手术难度和时间来算的
22,43.97000,滚动弹幕,25,0xffffff,0,9fab4bc2,46923238394560519,那急诊的不得没地位了
23,24.19100,顶端弹幕,25,0xfef102,0,7913274d,46662321645813765,曾医生是眼部护理的专业医生
24,181.17900,滚动弹幕,25,0xffffff,0,1c73124d,45720439381557253,你这是命中注定啊
25,112.18000,滚动弹幕,25,0xffffff,0,a4ddebef,45338376283357187,“有幸”跟上过一台肠梗阻手术，这辈子不想再上了
26,189.09900,滚动弹幕,25,0xffffff,0,ed000399,45307634997788677,以前我妈说不好好读书去搬砖，我学了土木结果又去工地搬砖了
27,98.90800,底端弹幕,25,0xffffff,0,8d955e82,45291105729642499,花3万医生又不会赚3万。。。
28,185.15000,滚动弹幕,25,0xffffff,0,def24a5f,45221588491567111,我只为了派克这两个字，当医生，我觉得值
29,169.12800,滚动弹幕,25,0xffffff,0,f82842f1,45092034290122755,向普外科医生致敬，我们真的需要急诊医生～
30,121.13100,滚动弹幕,25,0xffffff,0,f82842f1,45091956694450183,急诊医生辛苦了
31,172.05900,滚动弹幕,25,0xffffff,0,b856ed5f,45064030013358087,首先向白衣天使致敬
32,38.31200,顶端弹幕,25,0xfef102,0,269a6d74,44999656985329667,临床药学才是最底底端
33,174.33300,滚动弹幕,25,0xffffff,0,a99f445e,44993539697803267,主任在你背后。
34,183.02000,滚动弹幕,25,0xffffff,0,9253824,44944828629254151,老师常说：劝人学医，天打雷劈[doge][滑稽]
35,173.07500,滚动弹幕,25,0xffffff,0,f49b8a5d,44923803201961991,派克：不好意思，我就是主任~
36,160.18000,滚动弹幕,25,0xffffff,0,2650ea59,44900293980717123,多么痛的领悟
37,173.66400,滚动弹幕,25,0xffffff,0,360eec2b,44894209334312965,哈哈哈哈哈哈真的视频逐渐走搞笑风格
38,119.61400,滚动弹幕,25,0xffffff,0,2290541b,44854720146178053,我一边yue一边笑一边给普外科医生鼓掌
39,41.05900,滚动弹幕,25,0xffffff,0,dd6ca972,44850543717777415,肠梗阻哈哈哈哈哈，掏吧
40,152.93400,滚动弹幕,25,0xffffff,0,2f5c1bcf,44817186887303173,现在是知识改变嗅觉
41,27.58900,滚动弹幕,25,0xffffff,0,4ae5b1dc,44813956008116229,消毒供应中心
42,138.75800,滚动弹幕,25,0xffffff,0,3d33f7e1,44812234355376133,这是一段有味道的视频啊
43,46.45700,滚动弹幕,25,0xffffff,0,554e30c2,44809306232061959,麻醉科：？？？？
44,126.01600,滚动弹幕,25,0xffffff,0,24f096ad,44796128668418051,投币一下哈哈太惨了
45,147.95900,滚动弹幕,25,0xffffff,0,717890b2,44793973725724675,辛苦你了哈哈哈哈哈哈哈哈
46,66.93100,滚动弹幕,25,0xffffff,0,1bd6083,44590491166572549,同行呀就不要互相扎心了
47,146.35200,滚动弹幕,25,0xffffff,0,f599e01,44587745605058563,感动了，辛苦了大夫
48,141.46300,滚动弹幕,25,0xffffff,0,8de85c07,44503459186081799,还好我离开麻醉科了不用和普外急诊搭班了哈哈哈哈
49,152.41800,滚动弹幕,25,0xffffff,0,ba3d13c0,44492945535008773,辛苦了有内味了
50,74.96000,滚动弹幕,25,0xffffff,0,4e5308e8,44486301534650373,骨科贵在耗材，但是现在医保规定耗材0加成
51,35.81700,滚动弹幕,25,0xffffff,0,68ce2a64,44466134517809157,你说急诊我们这边骨创和产科可就不困了
52,170.64300,顶端弹幕,25,0xe70012,0,121ffeb3,44448786470666245,说这话小心主任杀进来
53,13.63000,滚动弹幕,25,0xffffff,0,fd5925c2,44440549905137671,为什么每个科都说自己是最底端
54,30.05600,滚动弹幕,25,0xffffff,0,f0bfdbfd,44427561686007811,别闹，没把超声影像当医院科室叭？
55,21.66300,滚动弹幕,25,0xffffff,0,ded9c66f,44413100885016579,一语双关
56,56.08100,滚动弹幕,25,0xffffff,0,81acacb5,44401178082017285,希望以后进一个比较轻松的科室
57,14.22200,顶端弹幕,25,0xfe0302,0,42c176bc,44394968064720901,急诊表示好累啊！！！
58,105.35300,滚动弹幕,25,0xffffff,0,20ba0326,44371035386019847,减压的时候，可能会喷出来，真的。。。
59,41.59800,滚动弹幕,25,0xffffff,0,889ada8c,44367205402935303,普外都底了让精神科放哪里？
60,67.87200,滚动弹幕,25,0xffffff,0,a33b8b71,44366244372021255,普外每天小手术十几台最少
61,8.95800,滚动弹幕,25,0xffffff,0,6a41acd1,44350588291907591,检验专业哭了
62,106.04800,滚动弹幕,25,0xffffff,0,a7362da6,44339439950364675,哈哈哈，原来还这样做的
63,132.39800,滚动弹幕,25,0xffffff,0,dc325702,44337635250929669,那护士才是最惨的，啥都得要护士
64,176.43300,滚动弹幕,25,0xffffff,0,74a19d2,44327194233667589,有怨气哈哈哈
65,43.47700,滚动弹幕,25,0xffffff,0,87218973,44321091821764613,辅助科室甚至不被当做医护人员
66,115.61900,顶端弹幕,25,0xfef102,0,95329c3e,44319183991210053,完了联想打雪仗有场面了
67,35.09900,滚动弹幕,25,0xffffff,0,eb33ed59,44318027440717827,每一份工作都值得被尊重，每份工作都在自己的岗位上发光发热
68,159.89000,滚动弹幕,25,0xffffff,0,6429505d,44316378699137027,妈妈一语中的
69,181.97000,滚动弹幕,25,0xffffff,0,191af7d4,44314388670709767,大家都不选，就成了稀缺人才(doge)
70,84.85100,滚动弹幕,25,0xffffff,0,38db4d86,44313992915582981,急诊最不赚钱
71,111.90300,滚动弹幕,25,0xffffff,0,debd9e0f,44312937236529155,整个肝胆外科
72,135.83100,滚动弹幕,25,0xffffff,0,cb3f5353,44306776336629763,这是一条有味道的视频
73,49.36400,滚动弹幕,25,0xffffff,0,ffc9d850,44303207427473413,普外科真的有张冬天医生嘛，哈哈哈
74,125.41900,滚动弹幕,25,0xffffff,0,a131229c,44303156434173959,一键三连，你值得拥有
75,175.87100,滚动弹幕,25,0xffffff,0,8ab116c,44302069401124871,哈哈哈哈哈哈哈哈哈哈这是有味道的一期
76,58.50000,滚动弹幕,25,0xffffff,0,5094fd5f,44300372829798407,可是西外的重点普外占了得有一半
77,60.62000,滚动弹幕,25,0xffffff,0,90d32929,44298316921962501,《便宜》
78,129.59600,滚动弹幕,25,0xffffff,0,bde0fcd4,44294273779105797,认真工作的医生护士们辛苦了
79,135.05900,滚动弹幕,25,0xffffff,0,3ed3361e,44275722164895749,护士要收拾的呀，当然痛苦了
80,142.42000,滚动弹幕,25,0xffffff,0,a99f54e6,44271231187812359,医生居然被护士摆脸色
81,167.15700,滚动弹幕,25,0xffffff,0,42eb8032,44266810198982659,哈哈哈哈哈哈你是要笑死我
82,150.75000,顶端弹幕,25,0xe70012,0,ab3419f,44262354745556997,从小我的妈妈就告诉我
83,84.06000,滚动弹幕,25,0xffffff,0,4e1e2e5c,44257374499766277,大家一起去挂曾医生号去薅朝阳医院羊毛
84,163.65900,滚动弹幕,25,0xe70012,0,10ceaee8,44255540542439427,选对专业很重要
85,110.56900,滚动弹幕,25,0xffffff,0,34bec488,44253650499928069,手术室变厕所了
