,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,168.41900,滚动弹幕,25,0xffffff,0,e74a1e14,992596536610340864,张总也进B站了，应该刷到过
2,335.73900,滚动弹幕,25,0xffffff,0,6aaa6827,983523635774939136,哈克说:“他竟然说我是个两面派！”。“非常错误，”伯纳德说:“毫无保密意识。”
3,538.49900,滚动弹幕,25,0xffffff,0,e9ced3dc,962305256182882304,反复鞭尸
4,481.94600,滚动弹幕,25,0xffffff,0,b3a4d5fd,57881957991467008,反复横跳
5,212.22000,滚动弹幕,25,0xffffff,0,b3a4d5fd,57881761757227520,律师看上瘾了
6,359.70000,滚动弹幕,25,0xffffff,0,544a5b6c,57101342955330560,我还以为认知就是机密
7,525.03600,滚动弹幕,25,0xffffff,0,a8709e05,56924103565943808,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 地理的笋都让你挖完了
8,29.05800,滚动弹幕,25,0xffffff,0,a8709e05,56923829281448960,不仅不下架，而且还放新的，哈哈哈
9,344.35000,滚动弹幕,25,0xffffff,0,686bb0a6,56163950360470016,试用期开除就是商业机密
10,122.58500,滚动弹幕,25,0xffffff,0,237ccf8d,55935493981435392,除了第一个因为提了公司名被下架了以外都还在
11,440.72300,滚动弹幕,25,0xffffff,0,ee110c82,55934071069036544,在任何时候取证录音，是不需要通知对方的
12,380.67400,滚动弹幕,25,0xffffff,0,b4f3edf5,55606509170321408,他们律师是背后的英雄 他们在帮你！！！！
13,517.59000,滚动弹幕,25,0xcd00,0,bb4f0366,55430087641290752,逻辑自洽饭~
14,96.56200,顶端弹幕,25,0xcd00,0,bb4f0366,55429690982713344,666啊，各种学习了
15,101.25500,滚动弹幕,25,0xffffff,0,e384c035,55379133405935616,这是犯法还想着拉同仁
16,424.94100,滚动弹幕,25,0xffffff,0,521ce7b7,55281219882642432,苟富贵，勿相忘，好兄弟哈哈哈哈哈哈
17,385.92700,滚动弹幕,25,0xffffff,0,521ce7b7,55281199399098880,怕了怕了怕了哈哈哈哈
18,221.42700,滚动弹幕,25,0xffffff,0,521ce7b7,55281113151777280,哈哈哈哈哈哈硬核催更！
19,182.59100,滚动弹幕,25,0xffffff,0,82d18239,55089957014396928,经查，好家伙，这是要造反啊
20,349.49900,滚动弹幕,25,0xffffff,0,df11b753,55059002953515008,压榨员工的商业机密
21,474.81900,滚动弹幕,25,0xffffff,0,ed1b7abb,55054548670841344,认知女郎又来了
22,594.55200,滚动弹幕,25,0xffffff,0,467ac423,54977102182752256,让我在意的是B站还真下架了   
23,406.21300,滚动弹幕,25,0xffffff,0,d5bd151a,54837751182851584,哈哈哈哈 律师其实满满转粉了 
24,520.82600,滚动弹幕,25,0xffffff,0,6596759,54762761802155520,经典硬广hhhh
25,378.61500,顶端弹幕,25,0xcc0273,0,aeb6295c,54738054787885056,真的怕了诶，律师咲洁洁你怕咩……
26,575.02400,滚动弹幕,25,0xffffff,0,99124f8d,54671383016463872,他们认为法律最终解释权归公司所有
27,471.28900,滚动弹幕,25,0xffffff,0,21e1555a,54439970921508352,这变声后再上传就是b站教的，同仁的力量2333
28,213.55200,滚动弹幕,25,0xffffff,0,f84ff2d2,54406919936399360,律师：暴露了
29,347.24100,滚动弹幕,25,0xffffff,0,42317eeb,49069784216109063,商业机密就是 试用期准备过解雇员工！
30,141.30700,滚动弹幕,25,0xffffff,0,370b90c5,48704446113251331,什么狐狸叫，狐狸的叫声明明是大楚兴陈胜王
31,209.06000,顶端弹幕,25,0xe70012,0,c8a2700f,48666094746992645,催更，哈哈哈哈哈
32,283.81000,滚动弹幕,25,0xffffff,0,987ff98a,46785721908854787,这个它们就很有灵性了
33,544.50600,滚动弹幕,25,0xffffff,0,464413e,46338881369407493,夺笋啊，笋都没了哈哈哈哈哈哈哈
34,416.64600,滚动弹幕,25,0xffffff,0,464413e,46338804997423109,人家说你暴露商业机密就是这句话啊2333333
35,484.17000,滚动弹幕,25,0xffffff,0,c7ed313b,46303540271906823,反复鞭尸
36,289.57000,滚动弹幕,25,0xffffff,0,c7ed313b,46303413592915973,应该聘你回去当法务
37,110.17900,滚动弹幕,25,0xffffff,0,c7ed313b,46303306988912643,整个山的笋都被你躲完了
38,455.53900,滚动弹幕,25,0xffffff,0,af12f209,46156914962726915,桐人：轻视我？这就到你家拉刀光！
39,529.93800,滚动弹幕,25,0xffffff,0,f05d8386,46154189159006211,它们还给你一键三连
40,304.73300,底端弹幕,25,0xe70012,0,98fcfdbe,46076790006349829,是哪家公司，兄弟们把它打在公屏上
41,495.11200,滚动弹幕,25,0xffffff,0,971c42ab,46030227788791811,反复鞭尸
42,381.63900,滚动弹幕,25,0xffffff,0,973e9147,45983789089816579,怕了，亲爱的律师同志
43,142.11800,滚动弹幕,25,0xffffff,0,56430664,45954123187093511,这个猫咪叫，我乐了
44,577.59500,滚动弹幕,25,0xffffff,0,1a11e1e,45931812931239939,这家公司这句话严重违背了我国网络健康协议的定义，建议起诉
45,349.14000,滚动弹幕,25,0xffffff,0,c92fadef,45925603472834567,你暴露了这个公司白嫖试用期员工劳动力的商业机密(斜眼)
46,491.53400,滚动弹幕,25,0xffffff,0,21b58a66,45923556174331907,反复鞭尸
47,393.23200,滚动弹幕,25,0xffffff,0,4ab4ade,45886686201643015,怕了（手动狗头）
48,331.84000,滚动弹幕,25,0xffffff,0,7556d4ce,45883874039300101,我好像明白他指的商业机密是什么了
49,344.08200,滚动弹幕,25,0xf0ab2a,0,83b7fadc,45848043960401925,律师在疯狂吐槽:你的认知是什么？
50,373.87400,滚动弹幕,25,0xffffff,0,b3fe67fb,45840138961944579,我现在最爱的up主，追随到底
51,525.09800,滚动弹幕,25,0xffffff,0,3ec58174,45806691001303043,哈哈哈哈哈哈哈哈你真是人才
52,432.69400,滚动弹幕,25,0xffffff,0,3ec58174,45806634308993027,等事情了结了，去应聘律所吧
53,477.35900,滚动弹幕,25,0xffffff,0,2965d815,45800425131081735,商业机密是要做保密措施的
54,578.74300,滚动弹幕,25,0xffffff,0,5a24e98a,45770311161348099,你还捎带黑诺奖和美利坚总统，你完了，哈哈哈
