,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,0.00000,顶端弹幕,25,0xe70012,0,65a6c99e,1011381088355947008,在收音机里听的那种，收音机没有屏幕！所以这个没有画面！
2,1186.92800,底端弹幕,25,0xffff00,0,3ebd697a,1003475078861691904,哈克：但是我们自己也制造电脑外围设备，就在我自己的选区啊
3,1237.52200,底端弹幕,25,0xffff00,0,3ebd697a,992094299670601728,哈克： 这个合同必须被阻止
4,1237.23200,底端弹幕,25,0xffff00,0,3ebd697a,992094219628118016,汉弗莱：我们被告知..
5,1178.35800,底端弹幕,25,0xffff00,0,3ebd697a,991906523617435648,弗兰克：是匹兹堡制造公司生产的
6,1103.08400,底端弹幕,25,0xffff00,0,3ebd697a,991892584564318208,汉佛莱：你能保守秘密吗?    伯纳：当然了
7,1089.75800,底端弹幕,25,0xffff00,0,3ebd697a,991892251365212160,汉佛莱：看看我们以往的那些大臣
8,1068.16400,底端弹幕,25,0xffff00,0,3ebd697a,991891728471089152,汉佛莱：你不能只是让人得其所愿
9,1060.66400,底端弹幕,25,0xffff00,0,3ebd697a,991891440364093440,汉佛莱：知识代表着阴谋和罪行，无知倒有一定的尊严
10,956.46800,底端弹幕,25,0xffff00,0,3ebd697a,991889216341401600,伯纳：如果你能过一下大臣的演讲稿我就可以把它给议会了
11,709.56000,底端弹幕,25,0xffff00,0,3ebd697a,991883864262320128,哈克：我还以为需要不停的说服你们呢
12,684.35400,底端弹幕,25,0xffff00,0,3ebd697a,991883135374860288,汉弗莱：和一个需要你通过的白皮书
13,678.74600,底端弹幕,25,0xffff00,0,3ebd697a,991882948577058816,汉弗莱：请看看这些提议 大臣
14,254.27100,底端弹幕,25,0xffff00,0,3ebd697a,991877922796445696,安妮：不是 我知道我什么意思
15,143.81300,底端弹幕,25,0xffff00,0,3ebd697a,991875870707105792,哈克：抱歉 我可不敢离开电话
16,1100.90000,顶端弹幕,25,0xffff00,0,3ebd697a,987667585517355008,汉佛莱：你能保守秘密吗? 伯纳德：当然了
17,1098.47900,顶端弹幕,25,0xffff00,0,3ebd697a,987667374533165056,伯纳德:那你有什么建议呢?
18,661.30600,底端弹幕,25,0xffff00,0,3ebd697a,987653550894137344,哈克：让我们充分相信国家
19,649.99100,底端弹幕,25,0xffff00,0,3ebd697a,987653002997768192,伯纳德：清除掉? 汉佛莱：我想您是说重新部署他们?
20,647.11800,底端弹幕,25,0xffff00,0,3ebd697a,987652726087442432,哈克：不过我们必须清除给彼此制造工作的人了
21,1062.25900,底端弹幕,25,0xffff00,0,3ebd697a,987593493837905920,汉佛莱：知识代表着阴谋和罪行无知倒有一定的尊严
22,1486.33300,底端弹幕,25,0xffffff,0,a97517eb,976917484591267840,乐活我了
23,482.76800,底端弹幕,25,0xffff00,0,3ebd697a,973742548674101248,伯纳：我还是更愿意叫你大臣 大臣
24,480.77200,底端弹幕,25,0xffff00,0,3ebd697a,973742387082043392,伯纳：我想如果对于您来说都是一样的话
25,74.57000,顶端弹幕,25,0xffaa02,0,3ebd697a,972930773115953152,哈克：安妮 他是我的顾问
26,149.65300,底端弹幕,25,0xffff00,0,3ebd697a,972922348245311488,安妮：他就一定会再给你打的 或者你可以给他打
27,134.89000,底端弹幕,25,0xffff00,0,3ebd697a,972921915400003584,安妮：我找不到安定片 所以我才找烟
28,135.25800,滚动弹幕,25,0xffffff,0,3ebd697a,972921695897149440,安妮：我找不到安定片 所以我才找烟
29,73.35300,滚动弹幕,25,0xffffff,0,3ebd697a,972920234448191488,哈克：安妮 他是我的政治顾问
30,120.59700,底端弹幕,25,0xffff00,0,3ebd697a,972919359007334400,安妮：我只是个不准闹情绪的政治家的妻子
31,108.08000,底端弹幕,25,0xffff00,0,3ebd697a,972917976942477312,哈克：是的，不过关键是哪一个大臣
32,106.79900,底端弹幕,25,0xffff00,0,3ebd697a,972917775961776128,安妮：感觉就像你要做大臣一样
33,92.65000,底端弹幕,25,0xffff00,0,3ebd697a,972917143352885248,哈克：我在等一个重要的电话 是的 再见
34,66.44100,底端弹幕,25,0xffff00,0,3ebd697a,972916397643735040,安妮：刚才是谁打来的？
35,64.52700,底端弹幕,25,0xffff00,0,3ebd697a,972916159800672256,哈克：那随时都会打来了
36,60.74300,底端弹幕,25,0xffff00,0,3ebd697a,972915908927725568,安妮：你等什么呢？
