,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,536.79800,滚动弹幕,25,0xffffff,0,6791efa8,1017431225486280704,这个理想主义是他上司们愿意指导他的原因之一
2,245.03400,顶端弹幕,25,0xe70012,0,5992ca4a,1014350621706583040,记住这个苏格兰事务部，哈哈哈哈哈哈哈哈哈哈哈哈
3,124.02500,滚动弹幕,25,0xffffff,0,556feedf,1001039956228998656,看了首相回头看大臣真的都好年轻
4,46.64900,滚动弹幕,25,0xffffff,0,556feedf,1001038824371145728,讲道理为了这个摸鱼看也情有可原（
5,890.27900,滚动弹幕,25,0xffffff,0,beb13110,1000153159274073600,刚刚那个眼神应该是察觉到了
6,322.74800,滚动弹幕,25,0xffffff,0,8324f16f,998901420927679488,但他每天一个辞职小技巧摆烂哈哈哈哈哈
7,419.51200,滚动弹幕,25,0xffffff,0,935f9d7d,990859428238016512,其实只有最下面箱子最下面一本是有用的，后面哈克见多了也知道了
8,453.09600,顶端弹幕,25,0xffffff,0,4f642b9f,984626983825612800,也就是说你做决定，但是你做出决定的项目由别人来选
9,286.16800,顶端弹幕,25,0xffff00,0,59ec7330,960694159122448384,以后请先上图
10,816.54400,滚动弹幕,25,0xffffff,0,65981b47,59251722995421696,杀手本能开始形成
11,248.18400,滚动弹幕,25,0xfef102,0,376b519c,58974306312634368,开始了长难句之旅
12,339.08500,滚动弹幕,25,0xffffff,0,1a0ddff8,58925050218384896,翻译一下：撤了也无所谓（）
13,698.17200,滚动弹幕,25,0xffffff,0,6f3ba8c1,58819607460463104,简直像拿捏一个三岁孩子
14,468.13900,滚动弹幕,25,0xffffff,0,6f3ba8c1,58819465207052800,校长与给他写稿的主任？
15,153.73900,顶端弹幕,25,0xe70012,0,a377eae7,58725120527868416,这部剧里的女性都极有魅力
16,583.23400,滚动弹幕,25,0xffffff,0,1835b541,58553043059111424,看似是哈克的成长历程，实际上也是伯纳德的成长历程
17,405.68500,滚动弹幕,25,0xffffff,0,1835b541,58552931426572800,小天使：你看看你在说什么鬼话
18,200.58900,滚动弹幕,25,0xffffff,0,1835b541,58552799750841856,看完三季回头看梦开始的地方，真感慨啊
19,152.73900,滚动弹幕,25,0xffffff,0,1835b541,58552764599614976,夫人总能在关键时刻拉哈克一把，奇女子
20,206.33100,顶端弹幕,25,0xffffff,0,1e26d350,58533084164174336,铁三角doge
21,33.16000,顶端弹幕,25,0xffff00,0,26ece3fc,58274033345845760,半部英剧治天下（doge）
22,269.15600,滚动弹幕,25,0xffffff,0,b62273f9,58213844010075648,“你这是什么意思”
23,773.01800,滚动弹幕,25,0xffffff,0,dd8913ec,57910401147394560,老狐狸小狐狸一起挤兑哈克
24,539.26600,滚动弹幕,25,0xffffff,0,83ec0b4c,57390670609067008,伯纳德其实才是boss，汉妃有点太想展现自己了，伯纳德和阿诺德最像
25,392.48200,滚动弹幕,25,0xffffff,0,4aab95d7,57051881108950528,这里哈克是指他要看阿斯顿维拉主场对阵利物浦的比赛
26,537.46500,滚动弹幕,25,0xffffff,0,565131e5,56095377849330176,伯纳居然被说很天真？伯纳的黑是从头贯穿到尾的
27,733.49600,滚动弹幕,25,0xffffff,0,16b352f,56054612096617984,hsl汉弗莱的钱都花到买衣服上了吧
28,192.86700,滚动弹幕,25,0xe2027f,0,1107388c,55967997952305152,因为他真的懂农业
29,53.83400,滚动弹幕,25,0xe2027f,0,1107388c,55967925025706496,人类非物质文化遗产！！！
30,894.21800,滚动弹幕,25,0xffffff,0,181db8d8,55917106556316672,哈克虽然不算聪明，但是他突发奇想的能力点满了啊，不理解的往后看就明白了
31,820.75000,滚动弹幕,25,0xffffff,0,eb946609,55781560267052544,我们有灵活的处理方式
32,195.20800,滚动弹幕,25,0xffffff,0,360197bc,55709000187185152,因为他真的懂农业！
33,819.57400,滚动弹幕,25,0xffffff,0,92f2d777,55578344322923520,这个背景音乐是我们学校的起床号，我现在一听见这个声音就头疼
34,235.67600,顶端弹幕,25,0xe70012,0,87f6ce87,55036564710366720,你觉得我把所有都说出来了令我开心
35,673.81900,滚动弹幕,25,0xffffff,0,3126ca00,54559535633001472,川：我怀疑你在内涵我
36,539.54500,滚动弹幕,25,0xffffff,0,3fb000c,53432383123297792,根据是大臣的后记，这剧就是伯纳德的回忆录
37,256.33900,滚动弹幕,25,0x90c320,0,cecd5a1b,51084854758998023,哈哈哈哈哈哈长难句分析来一波
38,589.06800,顶端弹幕,25,0xe70012,0,b5489939,50768563735101445,老子直呼内行
39,28.74900,顶端弹幕,25,0xffff00,0,f0e9097a,50521964702859269,世界非物质文化遗产
40,71.83900,滚动弹幕,25,0xffffff,0,5906f93d,49939688613478407,然而可笑的是不论再怎么敢拍敢播放，过了30年句里很多情况在现今欧美政治机关坛依然可以对号入座，说明什么都没变
41,912.12700,滚动弹幕,25,0xffffff,0,846a89c,49928837601951747,好爱老婆啊 桌上放着安妮的照片
42,145.63500,滚动弹幕,25,0xffffff,0,eef20706,49290395330281475,夫人回答简单得体 镇定自若 厉害
43,885.59100,滚动弹幕,25,0xffffff,0,1fc9faef,49196620614991875,汉弗莱从来不和长官明着对立
44,323.20100,滚动弹幕,25,0xffffff,0,54fe993e,49158280251965447,每天一个辞职小技巧
45,264.24800,滚动弹幕,25,0xffffff,0,719c0f,49011991589683207,这要是英语听力，我已经跪了
46,387.27000,滚动弹幕,25,0xffffff,0,d0d62264,48569631987204103,一个真正在干活的老吏都会有提前准备的作风，否则会被新官搞疯
47,953.52400,顶端弹幕,25,0x927939,0,689cab09,48395729383718915,就算有这层外衣依然让人看的毛骨悚然
48,953.46400,顶端弹幕,25,0x927939,0,689cab09,48395710551818243,就算有这种原因依然让人看到毛骨悚然
49,392.13100,滚动弹幕,25,0xffffff,0,1f6284d7,48293388132286467,这边经典的我想玩游戏，那边好的大臣，这是c++从入门到入土，后面还有一系列书籍
50,487.87200,顶端弹幕,25,0xfef102,0,69a44ad3,48102815057838147,上帝界的拿破仑
51,279.87300,滚动弹幕,25,0xffffff,0,3e174893,47491680112214023,好家伙，秘书这个词我都快不认识了
52,696.61500,滚动弹幕,25,0xffffff,0,c2cec60f,47461797195153413,政客和公务员有本质的区别
53,551.30100,滚动弹幕,25,0xffffff,0,c2cec60f,47461720985698311,这是最好的年轻人（确信）
54,86.58000,滚动弹幕,25,0xffffff,0,c2cec60f,47461477310267395,论语直呼内行
55,50.80400,滚动弹幕,25,0xffffff,0,fcca5867,47357481034186757,首相界的拿破仑
56,232.44500,滚动弹幕,25,0xffffff,0,3dad810,47244570107314179,后面在是首相里哈克说“你从来不回答我的任何问题”
57,237.84500,顶端弹幕,25,0xffd302,0,69a44ad3,47106953117696005,全文背诵
58,133.91900,滚动弹幕,25,0xffffff,0,6f3ad094,46848842865836037,马丁——消失的另一个人
59,570.90500,滚动弹幕,25,0xffffff,0,1151faa3,46493304318590979,我们看剧就是愣头青，他提出我们想知道的事情
60,527.47000,滚动弹幕,25,0xffffff,0,15ff5139,46403995737522181,剑桥=间谍之桥
61,322.80500,滚动弹幕,25,0xffffff,0,15ff5139,46403892931985415,维系平衡=每天辞职小技巧
62,209.51600,滚动弹幕,25,0xffffff,0,dacff042,46329118626152455,全体起立给汉妃行礼
63,498.63700,滚动弹幕,25,0xffffff,0,b890cd2e,46200798184472579,这就跟我们以前的师爷体系一样，师爷一定要用绍兴的
64,483.21000,滚动弹幕,25,0xffffff,0,995952ac,46192948315947013,川宝：？？？什么？？？下克上？？？
65,739.60900,滚动弹幕,25,0xffffff,0,d7aabca6,46122700676530181,首相给你的，首相也能收回去
66,440.15700,滚动弹幕,25,0xffffff,0,251a64ec,46103101986832389,这里是汉弗莱给他下的套子，让他自己决定要看红盒子
67,336.38500,滚动弹幕,25,0xffffff,0,9d01a3be,46076173044678723,哈克开始给自己挖坑了
68,699.56100,滚动弹幕,25,0xffffff,0,c707ed95,45933543322288135,汉弗莱，这身西装太帅了
69,59.63100,滚动弹幕,25,0xffffff,0,d8ace184,45859041906786311,其实整部剧都是汉妃运筹帷幄
70,217.39900,滚动弹幕,25,0xffffff,0,a9986036,45813602250653699,那真是悲伤的故事
71,384.25800,滚动弹幕,25,0xffffff,0,ea8a90b7,45385892364812295,朋友们学学这办事效率
72,383.49900,滚动弹幕,25,0xffffff,0,908c2fce,45261803472551943,说明他早就知道是谁来当部长了.
73,45.81900,滚动弹幕,25,0xffffff,0,14bb2c19,45249422892204037,撒切尔还是女王养的猫貌似就是剧里的名字
74,247.01400,滚动弹幕,25,0xffffff,0,fbe73f57,45233727014961157,这里边当公务员的基本都是剑桥牛津的，伯纳德两所都上过，一个本科一个硕士
