,uid,follower
1,283716819,7918
2,302417610,971247
3,37974444,1701507
4,40018594,50461
5,400906323,5271
6,97068901,111228
7,19398014,9949
8,432597324,244689
9,1586989078,1320
10,662660667,496900
11,493805437,461507
12,435419181,29464
13,1121471623,1093
14,477328270,724823
15,7328103,37942
16,382664877,1375
17,157819117,24614
18,930099,214410
19,27029938,211
20,2695789,45516
21,228852065,110113
22,1352611,104216
23,607217518,169843
24,73637180,1373
25,519861690,172305
26,33114953,393562
27,534957554,47482
28,21603251,4898
29,40427625,1951980
30,38053181,1340375
31,436492907,75667
32,427494870,1212376
33,395619513,1595628
34,2699952,9335
35,74529609,428310
36,481936705,1510181
37,2877695,464207
38,62986950,535064
39,20203471,380
40,2316849,1701
41,435214140,97240
42,433967666,1294
43,492841900,3574
44,491307403,134599
45,690661734,39833
46,1426178487,85779
47,397490386,1278455
48,11130880,106921
49,471151393,74558
