,BV号,情感指数
1,BV1aE411o7qd.csv,0.6276
2,BV1et411b73Z.csv,0.6008
3,BV1i7411G7kW.csv,0.5492
4,BV1iW411d7hd.csv,0.6075
5,BV1Kb411W75N.csv,0.6104
6,BV1pE411c7tx.csv,0.625
7,BV1wp4y1z7L6.csv,0.483
8,BV1Cz4y167Ny.csv,0.5493
9,BV1d54y1Y712.csv,0.5798
10,BV1FT4y1N7CT.csv,0.5084
11,BV1HZ4y1k7Ef.csv,0.5046
12,BV1nb4y1R7uF.csv,0.558
13,BV1tN411d7M2.csv,0.5387
14,BV1yf4y1671p.csv,0.5645
15,BV17s411t7Gn.csv,0.64
16,BV1Ds411Q7F9.csv,0.5359
17,BV1j4411W7F7.csv,0.6053
18,BV1mx411M75v.csv,0.6711
19,BV1qx411P7Mg.csv,0.6199
20,BV1rh411i7tz.csv,0.6214
21,BV1rv411q7B3.csv,0.6103
22,BV1Ax41147oH.csv,0.6465
23,BV1aZ4y1H7CK.csv,0.5855
24,BV1fx411N7bU.csv,0.646
25,BV1iy4y1z7w1.csv,0.5689
26,BV1k44y1E7fi.csv,0.6862
27,BV1ox411r75w.csv,0.6047
28,BV1u741117Ps.csv,0.6769
29,BV16A411H7Cj.csv,0.5501
30,BV1Br4y1T7sW.csv,0.5854
31,BV1dh411y7oh.csv,0.4667
32,BV1gt4y167cD.csv,0.5517
33,BV1sN411o721.csv,0.5206
34,BV1TN411d7FL.csv,0.5212
35,BV1Vf4y1y7un.csv,0.5258
36,BV1df4y1k75K.csv,0.6325
37,BV1ny4y1Y7mf.csv,0.6624
38,BV1oX4y1P73P.csv,0.634
39,BV1RV411476e.csv,0.5187
40,BV1vX4y1P7rW.csv,0.5303
41,BV1Wv4y1f7n1.csv,0.5237
42,BV1yf4y1z7eh.csv,0.7176
43,BV17T4y1K7gt.csv,0.5893
44,BV19U4y1W7Uk.csv,0.5484
45,BV1AN411o7ai.csv,0.6948
46,BV1Gy4y1v7xy.csv,0.489
47,BV1ip4y1W7Sa.csv,0.5987
48,BV1MU4y1W7GT.csv,0.6555
49,BV1Ny4y1e7iR.csv,0.5494
