,词语,次数
0,这个,50
1,理想,1
2,理想主义,1
3,主义,1
4,是,261
5,他,73
6,上司,1
7,们,9
8,愿意,5
9,意指,1
10,指导,1
11,原因,2
12,因之,1
13,之一,1
14,记住,1
15,苏格兰,1
16,事务,5
17,事务部,4
18,哈哈,263
19,哈哈哈,198
20,哈哈哈哈,139
21,看,34
22,首相,41
23,回头,2
24,大臣,95
25,真的,26
26,都,79
27,好,61
28,年轻,12
29,讲道,1
30,讲道理,1
31,道理,1
32,为了,2
33,摸鱼,1
34,也,38
35,情有可原,1
36,刚刚,2
37,那个,4
38,眼神,1
39,应该,12
40,该是,7
41,察觉,3
42,察觉到,3
43,但,6
44,每天,4
45,天一,2
46,一个,51
47,辞职,7
48,小,8
49,技巧,8
50,摆,1
51,烂,1
52,其实,7
53,只有,7
54,最下,3
55,下面,5
56,箱子,2
57,一本,1
58,有用,1
59,后面,16
60,哈克,175
61,见,1
62,多,8
63,知道,34
64,也就是说,1
65,就是,34
66,就是说,1
67,你,167
68,做,21
69,决定,11
70,但是,10
71,做出,1
72,项目,1
73,由,6
74,别人,2
75,来,39
76,选,1
77,以后,2
78,请,17
79,先上,1
80,上图,1
81,杀手,2
82,手本,2
83,本能,2
84,能开,1
85,开始,38
86,形成,1
87,长,35
88,难句,32
89,之,11
90,旅,1
91,翻译,11
92,一下,10
93,撤,1
94,无所,1
95,无所谓,1
96,所谓,1
97,简直,1
98,像,11
99,拿捏,1
100,一个三岁,1
101,三岁,1
102,孩子,1
103,校长,2
104,与,5
105,给,35
106,写稿,1
107,主任,3
108,这部,5
109,剧里,3
110,女性,2
111,极,1
112,有,68
113,魅力,1
114,看似,1
115,似是,1
116,成长,2
117,历程,2
118,实际,4
119,实际上,3
120,伯纳德,35
121,小天使,9
122,天使,9
123,看看,9
124,在,74
125,说,35
126,什么,83
127,鬼话,1
128,看完,2
129,三季,1
130,梦,17
131,地方,20
132,真,8
133,感慨,1
134,啊,65
135,夫人,13
136,总能,1
137,关键,6
138,关键时刻,1
139,时刻,1
140,拉哈,1
141,一把,4
142,奇女,1
143,奇女子,1
144,女子,1
145,铁三角,3
146,三角,3
147,doge,3
148,半部,49
149,英,10
150,剧,30
151,治,51
152,天下,52
153,这,88
154,意思,8
155,老狐狸,1
156,狐狸,2
157,小狐,1
158,一起,4
159,挤兑,1
160,实才,1
161,boss,2
162,汉,142
163,妃,27
164,有点,11
165,太,18
166,想,30
167,展现,1
168,自己,28
169,和,39
170,阿诺,35
171,阿诺德,35
172,诺德,35
173,最,6
174,这里,23
175,指,3
176,要,19
177,阿斯,1
178,阿斯顿,1
179,维拉,1
180,主场,1
181,对阵,1
182,利物,2
183,利物浦,2
184,比赛,1
185,伯,73
186,纳,77
187,居然,4
188,被,12
189,很,32
190,天真,6
191,黑,3
192,是从,2
193,从头,1
194,贯穿,1
195,穿到,1
196,尾,1
197,hsl,1
198,汉弗莱,44
199,弗莱,44
200,钱,1
201,花,1
202,到,8
203,买,2
204,衣服,1
205,上,7
206,吧,30
207,因为,8
208,懂,9
209,农业,11
210,人类,6
211,非,4
212,物质,4
213,文化,5
214,文化遗产,5
215,遗产,5
216,！！！,2
217,虽然,3
218,不算,1
219,聪明,2
220,突发,1
221,突发奇想,1
222,奇想,1
223,能力,5
224,力点,1
225,满,1
226,不理,1
227,理解,3
228,往后,1
229,就,62
230,明白,7
231,我们,53
232,灵活,5
233,处理,3
234,处理方式,1
235,方式,1
236,背景,4
237,背景音乐,3
238,音乐,4
239,学校,2
240,起床,1
241,起床号,1
242,现在,22
243,一,11
244,听见,1
245,声音,9
246,头疼,1
247,觉得,6
248,把,12
249,所有,11
250,说出,1
251,出来,5
252,令,1
253,开心,3
254,川,4
255,怀疑,1
256,在内,1
257,内涵,2
258,根据,2
259,后记,1
260,回忆,1
261,回忆录,1
262,分析,1
263,波,1
264,老子,1
265,直呼,3
266,内行,3
267,世界,3
268,然而,2
269,可笑,1
270,不论,1
271,再,7
272,怎么,20
273,敢,3
274,拍,3
275,播放,2
276,过,10
277,30,1
278,年,5
279,句,5
280,里,7
281,很多,4
282,多情,1
283,情况,1
284,现今,1
285,欧美,2
286,政治,23
287,机关,1
288,坛,1
289,依然,3
290,可以,30
291,对号入座,1
292,入座,1
293,说明,2
294,没变,1
295,爱,7
296,老婆,1
297, ,1500
298,桌上,1
299,放,3
300,着,27
301,安妮,33
302,照片,2
303,回答,4
304,简单,4
305,得体,1
306,镇定,1
307,镇定自若,1
308,自若,1
309,厉害,9
310,从来,2
311,从来不,2
312,长官,1
313,明,1
314,对立,1
315,要是,2
316,英语,19
317,英语听力,12
318,听力,35
319,已经,16
320,跪,1
321,真正,2
322,正在,4
323,干活,3
324,老,9
325,吏,7
326,会,30
327,提前,1
328,提前准备,1
329,准备,4
330,作风,1
331,否则,1
332,新官,1
333,搞,3
334,疯,1
335,就算,2
336,层,1
337,外衣,2
338,让,29
339,人,26
340,毛骨悚然,4
341,悚然,4
342,这种,6
343,看到,5
344,这边,1
345,经典,7
346,玩游,1
347,玩游戏,1
348,游戏,2
349,那边,1
350,c++,1
351,从,4
352,入门,1
353,入土,1
354,还有,12
355,一系,1
356,一系列,1
357,系列,1
358,书籍,1
359,上帝,10
360,界,3
361,拿破仑,3
362,好家伙,9
363,家伙,9
364,秘书,63
365,词,3
366,快,9
367,不,42
368,认识,3
369,政客,10
370,公务,8
371,公务员,8
372,本质,1
373,区别,3
374,最好,1
375,年轻人,1
376,确信,1
377,论语,1
378,相里,2
379,任何,4
380,问题,12
381,全文,1
382,背诵,1
383,马丁,4
384,消失,1
385,另,2
386,个人,5
387,愣头青,3
388,提出,1
389,事情,8
390,剑桥,24
391,间谍,1
392,桥,1
393,维系,1
394,平衡,1
395,全体,3
396,起立,2
397,行礼,1
398,跟,6
399,以前,2
400,师爷,4
401,体系,4
402,一样,11
403,一定,6
404,定要,2
405,要用,1
406,绍兴,1
407,宝,3
408,：？？？,1
409,？？？,7
410,下,9
411,克,2
412,能,27
413,收回,1
414,回去,1
415,套子,1
416,红,2
417,盒子,1
418,挖坑,1
419,这身,2
420,西装,2
421,太帅,2
422,整部,1
423,运筹,1
424,运筹帷幄,1
425,帷幄,1
426,那,17
427,真是,4
428,悲伤,2
429,故事,1
430,朋友,3
431,学学,2
432,办事,2
433,办事效率,2
434,效率,4
435,早就,2
436,谁,15
437,当,8
438,部长,2
