,词语,次数
0,势在必得,1
1,必得,1
2,改名,10
3,工作,25
4,后,11
5,回来,17
6,重新,3
7,重新学习,1
8,新学,2
9,学习,192
10,大佬,91
11,方法,9
12,PICK,1
13,再来,3
14,一遍,10
15,看,179
16,还是,43
17,很,68
18,好,150
19,有人,30
20,知道,32
21,这个,121
22,是,381
23,谁,17
24,吗,157
25,模式,2
26,模式识别,1
27,识别,2
28,与,4
29,机器,20
30,》（,1
31,Pattern,1
32, ,644
33,Recognition,1
34,and,3
35,Machine,1
36,Learning,1
37,淮北,1
38,北师,1
39,师范,1
40,计算,69
41,计算机,64
42,算机,64
43,辅导,1
44,辅导员,1
45,田,5
46,春雨,1
47,报道,61
48,还有,19
49,一个,80
50,比较,11
51,视频,51
52,就是,64
53,白板,6
54,推导,6
55,(,18
56,手动,2
57,狗头,8
58,.,181
59,jpg,2
60,),16
61,主讲,3
62,清华,12
63,李老师,3
64,老师,113
65,课程,35
66,生动,1
67,形象,1
68,哈哈,267
69,哈哈哈,158
70,哈哈哈哈,85
71,名叫,6
72,志,32
73,华,33
74,业内,1
75,业内人士,1
76,内人,1
77,人士,1
78,感觉,22
79,最强,1
80,强大,1
81,比,15
82,那些,5
83,教授,7
84,强,22
85,应该,32
86,该是,15
87,一线,1
88,干,10
89,过,37
90,基本,12
91,简单,13
92,讲,35
93,一下,36
94,西瓜,28
95,书,69
96,算,10
97,还,47
98,难,28
99,啃,4
100,系列,7
101,超级,4
102,可爱,5
103,喜欢,12
104,up,22
105,讲课,4
106,节奏,2
107,娓娓,2
108,娓娓道来,2
109,这,135
110,怕,7
111,不是,81
112,个,94
113,神仙,2
114,来,129
115,学,169
116,一,47
117,李,38
118,航,6
119,第二,22
120,二版,11
121,已经,22
122,扩充,2
123,一篇,1
124,无,3
125,监督,5
126,督学,4
127,白,16
128,嫖,7
129,失败,2
130,太,66
131,牛,42
132,字,6
133,出现,5
134,！！,10
135,！！！,17
136,传说,1
137,中,26
138,花,21
139,华大,2
140,起飞,1
141,给,31
142,递烟,2
143,其它,1
144,比西,1
145,一百,2
146,一百多,1
147,百多,2
148,p,3
149,只能,10
150,投,2
151,两个,11
152,币,3
153,就,117
154,亏,1
155,太原,2
156,太原理工,1
157,原理,12
158,理工,15
159,工本,3
160,本科,16
161,卑微,4
162,煮,1
163,泡面,1
164,这种,16
165,方式,3
166,经典,6
167,这本,12
168,能,37
169,提炼,1
170,炼成,1
171,诗句,1
172,k,3
173,近邻,2
174,法,1
175,kd,1
176,树,4
177,带,18
178,飞,3
179,esl,3
180,你,101
181,最后,28
182,一本,11
183,本机,1
184,教材,14
185,跟,11
186,区别,6
187,建议,15
188,买,20
189,其中,2
190,对照,2
191,照着,1
192,其他,4
193,电子,14
194,电子书,4
195,子书,4
196,听,22
197,简直,2
198,一种,7
199,享受,3
200,要,55
201,三,10
202,连有,1
203,何用,2
204,直接,28
205,接给,1
206,点,19
207,赞,11
208,宝,18
209,可,23
210,梦,72
211,训练,2
212,家,1
213,最终,1
214,大师,4
215,手推,1
216,推过,3
217,SVM,1
218,忘记,1
219,看着,4
220,笔记,5
221,记得,11
222,起来,17
223,一月,1
224,本书,14
225,一年,12
226,才,27
227,可以,60
228,把,25
229,加进,1
230,加进去,1
231,进去,1
232,命名,1
233,名实,1
234,实体,2
235,师,1
236,超,5
237,每,7
238,门,18
239,课,75
240,都,129
241,收集,2
242,开始,122
243,地方,59
244,请,5
245,收下,3
246,膝盖,2
247,平平,2
248,无奇,2
249,推,2
250,公式,3
251,只有,10
252,和,58
253,讲完,2
254,感知,1
255,感知器,1
256,K,10
257,mean,1
258,朴素,2
259,贝叶,3
260,贝叶斯,3
261,决策,1
262,决策树,1
263,逻辑,15
264,回归,13
265,支持,6
266,向量,2
267,机,10
268,提升,2
269,EM,3
270,准备,14
271,达,11
272,有,177
273,质量,4
274,集,8
275,MD,2
276,先,20
277,定,5
278,小目,2
279,目标,4
280,一个月,2
281,这些,9
282,看完,21
283,如果,27
284,语言,63
285,这里,18
286,提醒,1
287,好书,2
288,不一,10
289,一定,14
290,定好,1
291,入门,51
292,不要,13
293,盲目,1
294,记忆,2
295,记忆力,2
296,真好,4
297,迭代,2
298,算法,6
299,而已,4
300,也,101
301,翻译,31
302,翻译成,4
303,译成,4
304,成对,1
305,对数,4
306,几率,3
307,一杯,1
308,卡布奇诺,1
309,好好,17
310,好好学,8
311,好好学习,4
312,好学,10
313,天天,4
314,天天向上,1
315,向上,1
316,深度,5
317,里面,9
318,最,13
319,懂,19
320,有幸,2
321,徐,7
322,当堂,1
323,讲座,1
324,非常,12
325,常有,1
326,激情,1
327,现在,42
328,来得,2
329,来得及,2
330,认真,10
331,肯定,10
332,记得住,1
333,得住,1
334,林,3
335,轩,3
336,的确,1
337,确实,20
338,真的,43
339,清清,1
340,清清楚楚,1
341,清楚,3
342,楚楚,1
343,为了,26
344,学习机,1
345,为什么,18
346,什么,75
347,这么,47
348,正在,31
349,上节,1
350,剩,2
351,那,27
352,内容,16
353,呢,49
354,不过,2
355,大多,1
356,大多数,1
357,多数,2
358,了解,10
359,人平,1
360,平时,1
361,时说,1
362,更,11
363,像是,1
364,代号,1
365,logic,1
366,转化,2
367,logistic,3
368,两码,1
369,两码事,1
370,所以,25
371,不,87
372,恰当,2
373,regression,4
374,最初,1
375,叫,36
376,Logit,1
377,感谢,92
378,主,16
379,分享,3
380,型,6
381,华华,1
382,梁启超,1
383,路过,46
384,极大,1
385,似,2
386,然,1
387,派,4
388,MIT,3
389,在读,2
390,读研,2
391,研究,8
392,研究生,8
393,12,13
394,章,11
395,在,130
396,此,7
397,曾,1
398,益,2
399,太小,1
400,KNN,1
401,prlm,1
402,学派,1
403,吧,97
404,跪,7
405,大二,19
406,以西,1
407,文科,1
408,文科生,1
409,生路,2
410,根本,12
411,看不完,3
412,偏,3
413,数学,5
414,乱码,1
415,诗,4
416,幼儿,5
417,幼儿园,5
418,前来,33
419,报到,22
420,养成,1
421,习惯,1
422,大概,3
423,我们,68
424,学校,30
425,用,37
426,关键,5
427,统计,12
428,专业,17
429,ESL,3
430,有没有,17
431,没有,69
432,译,1
433,版,5
434,新手,7
435,否则,1
436,当天,1
437,劝退,2
438,立志,1
439,振兴,1
440,振兴中华,1
441,中华,1
442,40,3
443,观看,16
444,范德华,1
445,德华,2
446,buaa,2
447,1,86
448,做,31
449,介绍,8
450,不行,9
451,连,11
452,感动,2
453,哭,9
454,CS229,1
455,不错,15
456,像,5
457,期末,5
458,同学,26
459,电气,2
460,专业课,1
461,一会,2
462,一会儿,1
463,会儿,1
464,小,27
465,王,2
466,赵,2
467,再次,2
468,你们,28
469,宏,28
470,毅,29
471,终于,4
472,亦,3
473,博士,11
474,，，,5
475,硕士,8
476,大三,12
477,瑟瑟,3
478,发抖,3
479,打卡,188
480,啊啊啊,12
481,a,14
482,您,5
483,谢谢,22
484,啊,162
485,谢谢您,1
486,河北,1
487,工业,5
488,业大,5
489,大学,100
490,学前,2
491,cs231n,1
492,得,25
493,相对,2
494,浅,1
495,哔,2
496,大路,4
497,好多,14
498,yyds,21
499,南阳,1
500,本科生,5
501,愣,1
502,截,1
503,屏,2
504,称,1
505,为,13
506,神,14
507,台上,1
508,十分,2
509,十分钟,1
510,分钟,4
511,台下,1
512,十年,3
513,功,1
514,推荐,16
515,b,14
516,站,31
517,适合,7
518,致敬,2
519,吴,3
520,恩,3
521,新版,4
522,22,19
523,要死,2
524,svm,1
525,边,11
526,吃,7
527,午饭,1
528,听不懂,8
529,怎么,48
530,怎么办,12
531,弓,1
532,虽,1
533,有无,3
534,东,7
535,秦,7
536,学子,5
537,出来,17
538,互动,1
539,加油,50
540,2020,27
541,更新,3
542,2018,4
543,真是,10
544,前沿,1
545,手持,2
546,推荐书,1
547,硬核,11
548,极其,1
549,粗略,1
550,不知,11
551,拿,5
552,它,5
553,当,12
554,kNN,1
555,争,1
556,没用,2
557,大家,52
558,不会,34
559,改口,1
560,说,46
561,就行了,5
562,膜拜,16
563,刚,9
564,一集,22
565,5,32
566,个人,45
567,第,4
568,54,2
569,人,134
570,11,18
571,坚持,17
572,到,56
573,挺好玩,1
574,好玩,3
575,梁,1
576,同感,1
577,全,13
578,挺,24
579,提,4
580,啥,25
581,水,2
582,箭,1
583,龟,1
584,传奇,1
585,真神,1
586,对,18
587,来说,4
588,一点,15
589,梅,4
590,B,15
591,站上,1
592,主要,11
593,方面,1
594,出,10
595,数学系,1
596,学系,3
597,表示,22
598,证明,1
599,太常,1
600,常见,4
601,一共,4
602,大,47
603,台大,1
604,强烈,3
605,强烈推荐,2
606,陈,5
607,而,18
608,生,4
609,吴孟达,1
610,器,2
611,少,4
612,写,36
613,看得,1
614,够呛,1
615,张,4
616,师表,1
617,表达,3
618,表达能力,1
619,能力,5
620,有点,28
621,。。。。,7
622,CS231N,3
623,嘛,10
624,PRML,4
625,完全,7
626,看不懂,15
627,加入,3
628,第二遍,3
629,二遍,3
630,逼,32
631,阿,4
632,研,7
633,0,38
634,马上,1
635,撞,1
636,衫,1
637,月,11
638,尚志,1
639,强推,1
640,是不是,13
641,先去,2
642,看书,7
643,摸索,1
644,半年,1
645,东西,9
646,早,6
647,没看,6
648,华达,1
649,失业,1
650,中年,3
651,这俩,1
652,复旦,1
653,cs229,1
654,紧邻,1
655,准确,4
656,没写,1
657,PGM,1
658,能看懂,4
659,绪论,2
660,下,7
661,高中,5
662,高中生,2
663,中生,3
664,漏,1
665,shuhuai008,1
666,隐,1
667,马尔科,1
668,马尔科夫,1
669,科夫,1
670,bilibili,3
671,决定,1
672,以后,5
673,，，，,2
674,八,1
675,错,6
676,knn,2
677,忘,8
678,咋办,4
679,真要,2
680,基础,45
681,后面,7
682,有时,4
683,时间,13
684,杠,3
685,哼,1
686,系统,37
687,必,2
688,白平衡,1
689,平衡,1
690,一直,4
691,跳,5
692,只,19
693,初等,1
694,概率,2
695,概率论,1
696,数理,1
697,数理统计,1
698,David,4
699,怎样,2
700,节,2
701,上学,5
702,学期,7
703,midterm,1
704,平均,1
705,三十,7
706,三十多,2
707,十多,2
708,大神,8
709,会,36
710,。。,31
711,生物,3
712,加,12
713,全面,1
714,为啥,16
715,卡,8
716,年轻,3
717,马,4
718,kmeans,1
719,n,3
720,遍,4
721,记不住,2
722,不住,3
723,快,12
724,多,39
725,惊,3
726,安利,2
727,看视,12
728,开心,7
729,老二,2
730,二次,3
731,二次元,1
732,棒,3
733,pokemon,1
734,医学,2
735,医学生,1
736,学生,25
737,生来,6
738,停,1
739,好评,26
740,又,18
741,10,16
742,多么,1
743,口诀,4
744,太多,5
745,多少,16
746,看过,9
747,咋,2
748,掰,1
749,排,1
750,面,1
751,实现,5
752,一批,1
753,可惜,5
754,一半,1
755,一半多,1
756,半多,1
757,妈呀,3
758,前面,17
759,那个,23
760,真,15
761,逗,3
762,求积,1
763,积分,1
764,意义,2
765,明白,5
766,斯,2
767,谛,1
768,？？？,29
769,厉害,18
770,直译,1
771,好像,7
772,蒂,1
773,或者,5
774,logistics,2
775,数量,1
776,经济,2
777,倍速,24
778,山大,2
779,大本,2
780,帅,7
781,不适,2
782,蝙蝠,3
783,蝙蝠侠,1
784,信息,4
785,周志华,2
786,涉及,3
787,python,13
788,wly,1
789,黎平,1
790,平城,1
791,城关,1
792,一小,2
793,小报,1
794,武大,4
795,厦大,1
796,。。。,42
797,来看,20
798,乐,1
799,保,1
800,熟,1
801,牛人,1
802,南理工,3
803,万恶,1
804,北理工,1
805,要是,4
806,字幕,84
807,更好,3
808,花花,1
809,校长,1
810,大小,2
811,小老弟,1
812,老弟,2
813,围观,1
814,南瓜,1
815,37,6
816,小伙,17
817,小伙伴,17
818,伙伴,17
819,伞兵,1
820,一号,1
821,卢,1
822,本,12
823,伟,1
824,准备就绪,1
825,就绪,1
826,i,4
827,学呀,1
828,高斯,2
829,高斯分布,2
830,分布,4
831,高,13
832,二数,1
833,想起,2
834,csapp,10
835,材料,2
836,学期结束,1
837,结束,6
838,反正,1
839,50,3
840,70,1
841,左右,2
842,并,1
843,不好,13
844,单易,1
845,易懂,1
