,词语,次数
0,玄学,20
1,类,16
2,文本,17
3,好家伙,33
4,家伙,33
5,语文,192
6,75,6
7,作文,6
8,45,3
9,。。。。,8
10,确实,23
11,啊,185
12,不知,14
13,知道,37
14,语文课,15
15,有,73
16,什么,62
17,用,19
18,活跃,1
19,本,43
20,代入,2
21,感,5
22,很,68
23,强,9
24,已经,40
25,开始,33
26,害怕,10
27,变,1
28,是,300
29,内容,4
30,不变,3
31,学习,17
32,方法,7
33,寒假,30
34,只有,20
35,9,3
36,天,29
37,限制,2
38,想象,2
39,夺命,13
40,十九,1
41,十九分,1
42,九分,12
43,卷子,5
44,都,128
45,留,2
46,着,14
47,呢,17
48,每次,12
49,烦,3
50,记,6
51,积累,11
52,重点,3
53,感觉,34
54,错题,44
55,太,91
56,耗,1
57,精力,1
58,学,54
59,渣,23
60,这个,94
61,BGM,18
62,好像,23
63,像是,4
64,一个,51
65,熟悉,2
66,背景,5
67,背景音乐,4
68,音乐,7
69,……【,1
70,doge,25
71,求,6
72,姐姐,21
73,讲讲,1
74,基础,12
75,阅读,7
76,长期,1
77,不,90
78,扣分,1
79,真的,62
80,烧,2
81,脑壳,2
82,！！！,42
83,救命,23
84,那,28
85,你,150
86,少,4
87,凡尔,12
88,凡尔赛,12
89,思路,3
90,思路清晰,1
91,清晰,4
92,先,7
93,说,62
94,BP,1
95,开卷,1
96,分,76
97,有无,1
98,2021,5
99,年,13
100,全国,7
101,国一,3
102,一卷,6
103,经变,1
104,变成,3
105,成全,1
106,乙,1
107,卷,13
108,具体,5
109,问题,10
110,具体分析,3
111,分析,7
112,最,5
113,喜欢,16
114,学科,1
115,就是,74
116,好,238
117,魅力,1
118,格,2
119,及,4
120,不了,10
121,文科,15
122,文科生,10
123,生在,1
124,在线,1
125,着急,1
126,从不,2
127,把,18
128,当,10
129,课,15
130,hhhhhhh,2
131,兰花,1
132,兰花指,1
133,就,165
134,离谱,8
135,靠,24
136,经常,7
137,全,15
138,对,29
139,屑,1
140,对对,38
141,个度,1
142,难,31
143,把握,3
144,bgm,13
145,trouble,1
146, ,1110
147,maker,1
148,救救,3
149,一直,33
150,九十,15
151,九十多,5
152,十多,22
153,好羡慕,1
154,羡慕,1
155,上,35
156,一百,21
157,考试,17
158,试错,2
159,三道,1
160,选择,25
161,选择题,19
162,这部,2
163,这部分,2
164,部分,6
165,占,1
166,两条,1
167,突然,4
168,清醒,1
169,活页,2
170,指正,1
171,文学,7
172,文学类,4
173,指,3
174,散文,3
175,和,34
176,小说,4
177,星,5
178,茶会,4
179,好评,7
180,卧槽,56
181,真实,117
182,王,9
183,兰,1
184,等于,1
185,自习,5
186,自习课,2
187,论述,8
188,考,38
189,不是,53
190,理解,5
191,理解能力,1
192,能力,1
193,语言,5
194,逻辑,2
195,讲,15
196,真,24
197,练习,6
198,久,3
199,还是,18
200,有效,2
201,效果,2
202,新,6
203,概念,1
204,我们,67
205,老师,174
206,不让,2
207,裁,2
208,学校,14
209,校会,1
210,定期,1
211,期收,1
212,收起,1
213,起来,16
214,检查,1
215,人大,1
216,要,53
217,技巧,2
218,总结,3
219,很重,5
220,重要,13
221,暂停,3
222,停下,1
223,停下来,1
224,下来,4
225,来看,4
226,做,34
227,这类,1
228,题,45
229,让,13
230,人头,1
231,头疼,3
232,甚至,2
233,连,15
234,模板,7
235,没有,50
236,两次,3
237,必,3
238,出,6
239,一次,8
240,百一,4
241,铁打,1
242,规律,1
243,个人,10
244,建议,3
245,买,12
246,刻刀,1
247,裁剪,1
248,胶带,3
249,不好,8
250,这里,17
