,词语,次数
0,这,224
1,不是,111
2,反,2
3,人类,5
4,Mathematica,2
5,吗,136
6,面积,1
7,等效,1
8,原理,2
9,首,15
10,二维,13
11,二维码,13
12,增加,10
13,马赛,11
14,马赛克,11
15,赛克,12
16,确信,2
17,114514,3
18,个,96
19,bushi,4
20,提手,4
21,提手旁,4
22,一个,106
23,黑,48
24,块,11
25,结果,5
26,一堆,3
27,堆叠,1
28,在,90
29,一起,11
30,“？”,1
31,哇,13
32,基岩,6
33,众所周知,4
34,周知,4
35,一边,2
36,大,24
37,小,13
38,就是,65
39,黄金,4
40,比例,1
41,仓颉,3
42,纯粹,2
43,吃饱,1
44,撑得,1
45,怎么,49
46,最后,8
47,字,82
48,是,403
49,畔,1
50,你,165
51,会,73
52,看到,69
53,叠,9
54,汉字,21
55,变成,6
56,真正,3
57,方块,13
58,西夏,3
59,西夏文,3
60,礼貌,1
61,绯,2
62,刚才,2
63,谁,21
64,有,146
65,看见,13
66,旁边,1
67,繁体,4
68,繁体字,2
69,挂,4
70,(,15
71,掛,1
72,),9
73,基于,1
74,图像,1
75,位置,9
76,分布,2
77,字字,1
78,字体,123
79,设计,41
80,方法,6
81,研究,4
82,日本,1
83,除掉,1
84,部分,2
85,就,175
86,只,14
87,剩,1
88,鬼画符,1
89,画符,1
90,明明,2
91, ,1160
92,迪,7
93,！！,17
94,巴,1
95,老师,6
96,2,14
97,³²,1
98,韩国,5
99,申请,1
100,思密达,1
101,彁,3
102,使用,20
103,不同,10
104,铅笔,1
105,涂,3
106,答题,1
107,答题卡,1
108,时,6
109,Doge,1
110,禮,2
111,这个,156
112,看出,10
113,四个,5
114,中华,8
115,中华文化,5
116,华文,8
117,文化,7
118,截图,1
119,选,2
120,老婆,2
121,字幕,9
122,：《,1
123,将,4
124,故事,2
125,写成,1
126,我们,31
127,隐隐,3
128,隐隐约约,3
129,隐约,6
130,隐约约,3
131,德,3
132,打,19
133,好奇,1
134,问题,16
135,看,58
136,半夜,2
137,才,28
138,从,17
139,缝里,4
140,来,38
141,满,6
142,本,3
143,都,139
144,写,39
145,着,28
146,两个,12
147,吃,50
148,人,71
149,只是,7
150,黑体,16
151,楷体,6
152,宋体,16
153,隶书,1
154,得到,9
155,截然,1
156,截然不同,1
157,能,51
158,模糊,3
159,墨,3
160,里,23
161,整个,6
162,中华文明,1
163,文明,1
164,雍正,1
165,王朝,1
166,日,4
167,韩,2
168,网友,1
169,真的,34
170,！？,1
171,不信,1
172,好,114
173,聪明,2
174,『,1
175,喔,2
176,槽,4
177,离谱,7
178,』,1
179,看着,9
180,像,19
181,压力,27
182,压,11
183,奇奇,2
184,奇奇怪怪,2
185,奇怪,9
186,怪怪,4
187,怪怪的,4
188,知识,10
189,明白,6
190,这里,12
191,里头,1
192,咱们,2
193,每,4
194,个人,12
195,名字,6
196,诶,3
197,突然,10
198,发现,9
199,懂,26
200,报,5
201,宋,4
202,这么,32
203,细,3
204,为了,6
205,省油,1
206,油墨,1
207,横竖,2
208,睡不着,1
209,不着,1
210,仔细,2
211,细看,1
212,”！[,1
213,doge,43
214,],15
215,元素,2
216,元素周期,1
217,周期,1
218,周期表,1
219,!!!!!（,1
220,口,6
221,里面,17
222,非,1
223,每个,2
224,身份,1
225,身份证,1
226,上,30
227,中文,9
228,中文名,1
229,文名,1
230,又,29
231,.,107
232,カタカナ:。。。,1
233,最,21
234,左边,6
235,明显,7
236,担心,5
237,叠起,1
238,叠起来,1
239,起来,27
240,程序,9
241,巴基,1
242,巴基斯,1
243,巴基斯坦,1
244,基斯,1
245,基斯坦,1
246,中考,1
247,三千,1
