,词语,次数
0,全乡,6
1,都,371
2,知道,72
3,这事,7
4,高秀敏,74
5,和,93
6,范,78
7,伟,54
8,表情,74
9,情变,3
10,变化,4
11,他,132
12,为了,18
13,押韵,23
14,随便,2
15,哼哼,10
16,很多,14
17,小品,285
18,有,199
19,这种,23
20,梗,52
21,啊,506
22,乌克兰,14
23,克兰,14
24,被,30
25,俄罗斯,12
26,罗斯,15
27,揍,3
28,给,97
29,后面,48
30,节目,14
31,省,1
32,出,39
33,宝贵,1
34,时间,21
35,你,518
36,可以,41
37,说,204
38,之后,9
39,整个,10
40,大,80
41,忽悠,33
42,系列,2
43,没有,92
44,深度,6
45,但是,21
46,卖,27
47,拐,30
48,是,833
49,只是,13
50,时代,13
51,不同,6
52,人不知,2
53,不知,20
54,因为,36
55,真的,150
56,寓教于乐,1
57,成功,6
58,作品,36
59,于是,5
60,年底,1
61,上,82
62,辽宁,26
63,卫视,2
64,春晚,101
65,到,61
66,央视,11
67,央视春晚,1
68,时,11
69,本来,10
70,另,8
71,一个,145
72,捧哏,3
73,基本,11
74,基本功,3
75,也,243
76,鬼才,8
77,何庆魁,24
78,喵,4
79,鱼,4
80,就,302
81,归,7
82,管,36
83,甲鱼,6
84,老师,141
85,这,666
86,不知所措,1
87,高大,31
88,大毛,25
89,楞,13
90,航空,16
91,航空母舰,16
92,母舰,16
93,从,21
94,买,52
95,不是,172
96,搂,13
97,够,25
98,还,167
99,使眼色,3
100,眼色,8
101,哈哈,6977
102,哈哈哈,5546
103,谁,78
104,问,15
105,潘,14
106,子,85
107,把握,6
108,不住,24
109,本山,132
110,山大,35
111,大叔,48
112,几个,13
113,神,96
114,演技,84
115,礼貌,13
116,吗,141
117,负责,3
118,责任,4
119,讲,5
120,辽西,2
121,西地,1
122,地区,3
123,难,14
124,个,139
125,意思,58
126,就是,188
127,挨个,16
128,抱歉,1
129,没,165
130,听清,5
131,什么,228
132,发布,3
133,精神,9
134,人民,27
135,对于,1
136,航母,14
137,憧憬,1
138,狂人,1
139,不愧,9
140,念诗,2
141,之,69
142,王,27
143,记上,1
144,掉,9
145,炕,12
146,人,157
147,走,57
148,要,201
149,赶,1
150,客,1
151,哈哈哈哈,4244
152, ,3324
153,调,4
154,对,22
155,笑声,37
156,23333,25
157,铁三角,12
158,三角,12
159,效果,21
160,太,331
161,强,63
162,跟,31
163,以前,44
164,接上,4
