,词语,次数
0,这个,92
1,朴实,1
2,朴实无华,1
3,实无,1
4,无华,1
5,广告,31
6,爱,21
7,好家伙,43
8,家伙,47
9,这,166
10,比,18
11,正片,4
12,还,95
13,长,20
14,肝,68
15,帝,66
16,只要,6
17,在家,6
18,办公,16
19,就,158
20,没人,3
21,能,44
22,伤,3
23,我心,3
24,此,5
25,屏幕,4
26,在,118
27,俄,1
28,乌,1
29,战争,2
30,中发,1
31,发挥,3
32,重要,10
33,作用,1
34,doge,11
35,盲,4
36,猜,9
37,得到,2
38,它,6
39,。。。,39
40,董,9
41,叔,1
42,一生,61
43,之,65
44,敌,61
45,哈哈,3737
46,表情,5
47,满分,1
48,设置,1
49,这种,43
50,奖品,2
51,老板,12
52,高兴,2
53,坏,5
54,日常,4
55,痴迷,1
56,然而,1
57,他,67
58,每次,4
59,转发,1
60,b,12
61,站,19
62,抽奖,1
63,从未,1
64,中,6
65,过,26
66,本,3
67,集,1
68,最,37
69,有,185
70,价值,4
71,镜头,1
72,要,73
73,爆,3
74,肝儿,1
75,哈哈哈,2968
76,哈哈哈哈,2269
77,公设,1
78,设施,1
79,被,42
80,你,399
81,拿来,1
82,谈恋爱,1
83,恋爱,1
84,还是,31
85,跟,21
86,被装,1
87,装进,1
88,小盒,1
89,儿,4
90,里,9
91,？（,3
92,bushi,2
93,小,16
94,ER,1
95, ,384
96,已经,23
97,承,1
98,瞅,2
99,准,3
100,技,1
101,MAX,2
102,",",8
103,卑微,54
104,の,1
105,特色,4
106,买,46
107,孩子,23
108,说,136
109,很,78
110,好吃,13
111,准备,4
112,再,13
113,一箱,6
114,一,25
115,进门,2
116,脱衣,1
117,脱衣服,1
118,衣服,2
119,太,85
120,热情,1
121,编辑,7
122,编辑部,7
123,故事,12
124,2,23
125,可恶,1
126,又,49
127,装到,1
128,你们,28
129,衔接,2
130,挺,7
131,好,134
132,啊,187
133,查理,2
134,九世,1
135,已,12
136,用,36
137,团队,6
138,利器,1
139,委屈,3
140,都,191
141,气炸,2
142,明明,5
143,是,454
144,D,1
145,开头,1
146,凭,3
147,什么,86
148,隔,6
149,这么,41
150,远,4
151,哼,2
152,夫妻,2
153,kris,7
154,后背,1
155,为啥,4
156,个,64
157,链子,1
158,hhh,4
159,宝,3
160,远程,5
161,总,7
162,截,2
163,胡,2
164,咬牙,6
165,咬牙切齿,6
166,切齿,6
167,怎么,71
168,哪,21
169,哇,6
170,我们,48
171,手术,29
172,手术室,4
173,同,5
174,款,3
175,咖啡,3
176,咖啡机,3
177,夺,27
178,妻,2
179,仇,1
180,老,41
181,婆,1
182,哑铃,1
183,差点,1
184,砸脚,1
185,脚上,1
186,师傅,10
187,别念,13
188,起身,1
189,显得,1
190,那么,24
191,演技,9
192,表,3
193,喜剧,1
194,内核,1
195,悲剧,1
196,人类,2
197,悲欢,1
198,并,9
199,不,143
200,相通,1
201,受,2
202,认可,1
203,极限,1
204,广告词,1
205,可能,15
206,会,29
207,被告,1
208,问出,1
209,问题,32
210,那一刻,1
211,一刻,1
212,承认,3
213,认输,1
214,菲律宾,2
215,国家,5
216,家安,1
217,安全,2
218,全会,1
219,会议,3
