,词语,次数
0,姑苏,3
1,城外,3
2,寒山寺,3
3,山寺,3
4,夜半,3
5,夜半钟声,3
6,钟声,3
7,到,45
8,客船,4
9,走,41
10,位,17
11,和,85
12,郑少秋,1
13,笑,27
14,看,98
15,风云,1
16,不分,1
17,不分伯仲,1
18,伯仲,1
19,这,407
20,一年,14
21,爸妈,2
22,相亲,1
23,两年,4
24,年后,8
25,有,159
26,个,55
27,靓仔,1
28,诞生,4
29,那,42
30,几年,6
31,最,50
32,火,18
33,几个,9
34,小伙,6
35,无外乎,1
36,毛,108
37,宁,106
38,费,2
39,翔,2
40,帅,141
41,惨绝人寰,1
42,绝人,1
43,人寰,1
44,好,250
45,年代,30
46,感,10
47,舞步,6
48,还有,47
49,记忆,9
50,啊,287
51,流逝,1
52,青春,67
53,妈妈,9
54,生前,3
55,喜欢,103
56,歌,103
57,这身,3
58,西装,2
59,真的,136
60,永不,4
61,不过,16
62,过时,8
63,灯光,2
64,灯光师,1
65,打光,1
66,都,192
67,不往,1
68,脸上,2
69,打,65
70,吗,85
71,啊啊啊,396
72,这个,177
73,男生,4
74,已经,27
75,成为,6
76,全国,1
77,生情,1
78,情敌,1
79,曲,17
80,词,13
81,唱,92
82,美,31
83,出来,17
84,数学,1
85,学到,3
86,上年,1
87,年纪,4
88,一直,38
89,爱,136
90,​,1
91,小学,30
92,时候,122
93,老师,35
94,教,5
95,过,34
96,首歌,106
97,张,15
98,旧船,10
99,船票,12
100,能否,15
101,登上,22
102,你,503
103,破船,29
104,天,18
105,呐,6
106,大,52
107,辫子,1
108,好多,14
109,多头,1
110,头发,7
111,！！！,132
112,他,130
113,算是,2
114,中国,15
115,初,3
116,代,2
117,city,1
118, ,967
119,boy,1
120,系,2
121,艺人,1
122,我们,39
123,以前,37
124,学,12
125,舞,31
126,哈哈,269
127,哈哈哈,179
128,月落乌啼,8
129,总是,5
130,千年,1
131,风霜,1
132,春晚,29
133,是,564
134,现场,8
135,现场直播,1
136,直播,5
137,想起,18
138,帝女花,1
139,那时,40
140,还,113
141,在,169
142,村里,1
143,放羊,1
144,贵,1
145,又,40
146,高,25
147,当年,50
148,可是,7
149,顶,7
150,流,4
151,霸,6
152,哥,152
153,别,21
154,说道,2
155,这时,17
156,这时候,13
157,爸,7
158,才,67
159,十七,1
160,十七岁,1
161,七岁,4
162,哇,22
163,仿佛,7
164,回到,16
165,童年,15
166,上,60
167,幼儿,2
168,幼儿园,2
169,记得,13
170,林依轮,1
171,说,80
172,不会,20
173,跳舞,52
174,但,21
175,那个,66
176,范,23
177,给,28
178,人,116
179,感觉,50
180,好像,30
181,很,92
182,会,42
183,歌词,36
184,顶级,3
185,原来,19
186,就,104
187,跳,14
188,没出,18
189,喊,3
190,哈哈哈哈,108
191,宋丹丹,2
192,丹丹,2
193,必须,6
194,能登,3
195,一,45
196,听,131
197,就是,93
198,真,54
199,跟,25
200,录音,6
201,录音室,1
202,不同,5
203,现在,119
204,才能,3
205,真正,18
206,感受,3
207,受到,2
208,魅力,3
209,服装,4
210,放,9
211,也,137
212,很漂亮,2
213,漂亮,41
214,回忆,45
215,虽,1
216,简单,3
217,非常,7
218,常有,2
219,有意,8
220,意境,7
221,！！,58
222,红,14
223,看看,7
224,人家,10
225,陈小奇,1
226,失眠,3
227,写出,2
228,这种,8
229,千古,1
230,千古绝唱,1
231,绝唱,2
232,当时,37
233,听完,1
234,这歌,36
235,秒,4
236,变小,1
237,迷,4
238,妹,3
239,旋律,3
240,旋律优美,1
241,优美,1
242,动听,1
243,从小,7
244,好看,44
245,第一,45
246,第一眼,1
247,一眼,1
248,眼看,1
249,看成,1
250,沙,1
251,溢,1
252,能,40
253,不能,10
254,不知,18
255,知道,34
256,这条,1
257,看过,11
258,过后,1
259,回来,24
260,引领,1
261,时尚,5
262,谁,43
263,请,23
264,歌星,1
265,颜,19
266,值,15
267,实力,4
268,可惜,13
269,个人,21
270,声,7
271,绝,47
272,歌手,16
273,敢肯定,1
274,肯定,12
275,一定,4
276,用,19
277,100,6
278,来,163
279,伴舞,13
280,流行,19
281,流行歌,2
282,体育,2
283,生,7
284,出生,58
285,真是,18
286,幸运,1
287,端庄,3
288,大方,3
289,美好,9
290,九十,4
291,九十年,3
292,九十年代,3
293,十年,20
294,十年代,3
295,只,22
296,存在,4
297,四年,8
298,配,16
299,特别,9
300,别的,5
301,奶奶,1
302,96,21
303,唱到,1
304,小时,18
305,小时候,17
306,俺,2
307,爹,4
308,经常,6
309,哼唱,1
310,第一次,17
311,一次,25
312,听到,19
313,爸爸,3
314,觉得,24
315,最好,7
316,好听,170
317,不,77
318,接受,1
319,反驳,1
320,☺️,1
321,出不来,1
322,不来,5
323,脍炙,1
324,脍炙人口,1
325,人口,1
326,一首,44
327,一首歌,26
328,一个,96
329,故事,12
330,mv,41
331,里,27
332,眼睫毛,1
333,睫毛,1
334,。。,18
335,惊,3
336,为什么,27
337,什么,67
338,那么,19
339,艺术,10
340,气息,2
341,句,7
342,老,20
343,经典,46
344,中,18
345,。。。,16
346,九六,1
347,九六年,1
348,六年,3
349,每次,9
350,去,41
351,卡拉,1
352,OK,1
353,会点,1
354,看家,1
355,点歌,1
356,点歌台,1
357,歌台,1
358,常看到,1
359,看到,16
360,太,124
361,熟悉,13
362,90,12
363,充满,8
364,想象,4
365,相信,9
366,以后,2
367,后会,2
368,比,27
369,更,5
370,那年,44
371,喝,6
372,孟婆汤,1
373,录播,2
374,技术,2
375,达,2
376,不到,7
377,对,27
378,全场,2
379,控制,2
380,有种,4
381,功夫,4
382,斧头,8
383,斧头帮,8
384,后,23
385,第一场,1
386,一场,3
387,大概,2
388,只有,14
389,两个,6
390,月,10
391,？？,16
392,错过,1
393,老爹,1
394,没,44
395,实,1
396,锤,1
397,怎么,42
398,突然,8
399,消失,2
400,大众,1
401,视野,1
402,早期,7
403,地,14
404,麦,12
405,本来,2
406,前途,1
407,前途无量,1
408,无量,1
409,不用,3
410,带动,1
411,效果,2
412,涛声,6
413,依旧,10
414,哪,14
415,见,13
416,当初,4
417,少年,6
418,支,1
419,编,8
420,太美,9
421,后面,25
422,一位,5
423,莫名,7
424,确实,13
425,惊呆,1
426,有感,7
427,女,35
428,主,29
429,一开,6
430,开始,85
431,离,5
432,得,37
433,远,3
434,孤独,1
435,样子,7
436,一般,5
437,不了,12
438,调,3
439,气球,10
440,后妈,1
441,一岁,6
442,跟着,5
443,等,10
444,半年,3
445,来到,7
446,世界,65
447,声音,44
448,过去,10
449,29,1
450,年,104
451,首歌曲,8
452,歌曲,32
453,适合,2
454,合在,1
455,海边,1
456,保剑锋,1
457,剑锋,1
458,是非,2
459,多,29
460,被,41
461,黑,12
462,惨,3
463,懂,12
464,欣赏,2
465,音乐,98
466,老爸,2
467,磁带,3
468,带,13
469,围巾,8
470,这么,40
471,除了,2
472,许文强,2
473,第二,9
474,第二个,2
475,二个,2
476,回去,1
477,年内,1
478,内地,5
479,偶像,4
480,吧,91
481,舞蹈,23
482,所谓,3
483,韵味,4
484,还是,59
485,细胞,2
486,设,1
487,要,78
488,没事,2
489,没事儿,1
490,事儿,1
491,两步,2
492,一张,5
493,根本,7
494,没有,59
495,这样,21
496,93,11
497,年初,3
498,初中,37
499,班主,1
500,班主任,1
501,主任,1
502,任教,1
503,中秋,1
504,中秋节,1
505,秋节,1
506,神,76
507,TM,2
508,看起,3
509,看起来,3
510,起来,38
511,广场,3
512,一段,11
513,弯路,1
514,长,15
515,腿,9
516,哎,7
517,之后,5
518,广东,4
519,东歌,1
520,流行起来,1
521,弓箭,1
522,弓箭步,1
523,箭步,1
524,不是,108
525,过年,3
526,观念,1
527,比较,5
528,陈旧,1
529,苦,1
530,第二年,1
531,二年,4
532,卖,7
533,再也,7
534,带走,1
535,一盏,1
536,渔火,5
537,爱情,4
538,情歌,1
539,足球,3
540,足球运动,1
541,球运,1
542,运动,6
543,运动员,6
544,动员,6
545,转行,1
546,所以,13
547,唱歌,11
548,厨师,1
549,跨栏,3
550,作曲,3
551,深意,1
552,真真,1
553,六岁,3
554,穿,6
555,赵宝刚,1
556,国民,2
557,十一,3
558,十一岁,1
559,外婆,1
560,要死,1
561,要死要活,1
562,以为,23
563,竟然,13
564,东北,3
565,北大,1
566,大哥,16
567,想,61
568,穿越,5
569,英语,6
570,第一课,1
571,古代,3
572,写,14
573,汉字,1
574,得当,2
575,有无,2
576,无线,1
577,宁哥,2
578,小品,4
579,不急,1
580,12,15
581,手机,10
582,机上,2
583,前线,2
584,歌舞,2
585,歌舞团,2
586,舞团,2
587,忙,2
588,搞笑,8
589,笑哈哈,1
590,杨钰莹,13
591,放在,2
592,CP,4
593,妈,12
594,初二,9
595,魂,3
596,小姐,28
597,小姐姐,15
598,姐姐,36
599,华人,1
600,地方,29
601,不仅,2
602,不仅仅,2
603,仅仅,2
604,专门,1
605,来看,5
606,哦,30
607,节目,6
608,目的,2
609,时间,13
610,时间段,2
611,98,10
612,00,15
613,赵本山,6
614,本山,6
615,品出,1
616,出现,7
617,类似,2
618,压轴,1
619,感受一下,1
620,一下,16
621,这些,22
622,老歌,8
623,真好,25
624,棒,5
625,从,34
626,起,12
627,没了,5
628,金童,14
629,金童玉女,12
630,玉女,13
631,地摊,1
632,谣言,7
633,受害,1
634,受害者,1
635,红红,2
636,红红火火,2
637,红火,2
638,恍恍惚惚,2
639,恍惚,2
640,惚,2
641,大爷,6
642,可,15
643,开心,5
644,啦,52
645,搞,17
646,朋友,9
647,们,18
648,支持,3
649,只能,5
650,有味,5
651,味道,11
652,模仿,8
653,里面,13
654,动作,6
655,之前,7
656,每年,1
657,逗我,1
658,？！！,1
659,玩,7
660,泥巴,1
661,演员,9
662,自己,17
663,两岁,6
664,长辈,2
665,那些,9
666,没得,2
667,吃饱,1
668,饭,3
669,国风,5
670,多美,1
671,一切,3
672,好奇,1
673,新鲜,1
674,我家,9
675,那种,2
676,CD,4
677,MV,60
678,版,8
679,转世,3
680,路上,2
681,玉,1
682,建,2
683,最近,2
684,路过,11
685,再,56
686,传播,1
687,十一点,1
688,十一点左右,1
689,一点,8
690,左右,4
691,哥们,4
692,有线,2
693,麦克,6
694,麦克风,2
695,拿,5
696,着,35
697,东流,1
698,流行音乐,6
